"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39"
"16","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b"
"17","c","b","c","b","c","a","c","a","c","a","c","b","c","c","b","c","c","c","c","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a"
"18","c","b","c","b","c","b","c","a","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"19","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b"
"20","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","b","b","b","b","b","a","c","a","c","b","c","b","c","b","c","b","c","b"
"21","c","b","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a"
"22","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b","c","b","c","b"
"23","c","c","c","c","c","c","c","c","c","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","a","c","a","c","b","c","a","c","b","c","b","c","b","c","b","c","b","c","b"
"24","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","b","b","b","b","a","b","a","b","a","b","b","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","c","b","c","b"
"25","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","b","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","b","a","c","a","c","b","c","b","c","b","c","b","c","b"
"26","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b"
"27","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b"
"28","c","a","c","a","c","a","c","c","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","b","b"
"29","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","a","c","b","c","b","c","b","c","b","c","b"
"30","c","a","c","a","c","a","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"31","c","a","c","a","c","a","c","c","c","b","b","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a"
"32","c","b","c","a","c","a","c","a","c","b","c","c","b","c","c","c","c","c","b","c","b","c","c","c","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","b"
"33","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","a"
"34","c","b","c","a","c","a","c","b","c","b","b","c","a","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b"
"35","c","b","c","b","c","a","c","a","c","b","c","b","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","a","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","a","c","b"
"36","c","b","c","b","c","a","c","a","c","b","c","b","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","b","c","b"
"37","c","c","c","b","c","a","c","a","c","b","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","b","c","b"
"38","c","b","c","b","c","a","c","b","c","c","c","c","c","c","b","c","c","c","b","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","a","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","b","b","c","b","c","b","c","b"
"39","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b"
"40","c","b","c","a","c","a","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","b","c","b"
"41","c","a","c","a","c","c","c","b","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","c","b"
"42","c","b","c","a","c","a","c","b","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","b","c","b"
"43","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","b","c","b"
"44","c","b","c","a","c","a","c","a","c","a","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"45","c","a","c","a","c","a","c","b","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"46","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"47","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","c","b","c","b","c","b","c","b"
"48","c","b","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"49","c","b","c","a","c","a","c","b","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"50","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"51","c","b","c","b","c","a","c","a","c","a","c","b","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"52","c","b","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"53","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"54","c","b","c","b","c","a","c","a","c","a","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"55","c","b","c","a","c","a","c","a","c","b","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"56","c","a","c","a","c","a","c","c","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"57","c","b","c","a","c","a","c","a","c","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"58","b","c","c","c","c","c","c","c","c","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b"
"59","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","c","b","c","b","c","b"
"60","c","a","c","a","c","a","c","c","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"61","c","a","c","a","c","a","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"62","c","a","c","a","c","a","c","b","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"63","c","a","c","a","c","a","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"64","c","b","c","b","c","a","c","a","c","a","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a"
"65","c","a","c","a","c","a","c","c","c","b","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"66","c","a","c","a","c","a","c","b","c","b","a","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"67","b","b","c","a","c","a","c","a","c","b","c","b","a","c","a","c","c","c","c","c","b","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a"
"68","b","b","c","b","c","a","c","a","c","a","c","b","a","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","a","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"69","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"70","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b","c","b","c","b","c","b"
"71","c","b","c","a","c","a","c","a","c","b","c","b","b","c","b","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a"
"72","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","b","c","b","c","b","c","b"
"73","c","c","c","c","c","c","c","c","c","c","b","b","c","b","a","b","a","b","a","b","b","b","a","b","b","b","a","b","a","b","a","a","a","b","a","a","a","a","b","b","a","a","a","a","a","b","a","a","a","a","a","c","a","a","c","a","a","b","b","a","b","b","b","a","c","a","c","a","c","b","c","b","c","b","c","b","c","b"
"74","c","b","c","a","c","a","c","a","c","b","c","b","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a"
"75","c","b","c","a","c","a","c","a","c","b","c","b","a","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"76","c","b","c","b","c","a","c","a","c","a","c","b","b","c","b","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"77","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"78","c","b","c","a","c","a","c","a","c","b","c","c","b","c","b","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a"
"79","c","b","c","a","c","a","c","a","c","b","c","b","b","c","c","c","c","c","b","c","c","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"80","c","b","c","b","c","a","c","a","c","a","c","b","b","c","b","c","c","c","c","c","c","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"81","c","b","c","a","c","a","c","a","c","b","c","b","a","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a"
