"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39","V1__40","V2__40","V1__41","V2__41","V1__42","V2__42","V1__43","V2__43","V1__44","V2__44","V1__45","V2__45"
"27","c","d","c","d","c","d","c","d","c","d","b","d","b","c","c","c","b","b","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","b","b","c","b","c","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","c","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","c","b","c","b","d","b","d"
"28","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","c","b","b","a","a","a","a","a","a","a","a","a","a","a","a","b","b","b","c","c","d","c","d","c","d","d","c","d","c","d","c","d","c","d","b","c","b","c","b","b","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","c","d","c","d"
"29","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d"
"30","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","c","c","c","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","c","b","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","c","b","d","c"
"31","d","d","d","d","d","d","d","d","d","d","c","c","c","c","d","b","c","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"32","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","c","b","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","c","c","b","c","b","b","a","b","a","b","a","b","a","a","a","a","a","a","a"
"33","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"34","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","c","c","c","c","c","d","c","d","c","d","c","d","c","d","d","d","d","d","c","d","c","c","b","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"35","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","a","b","a","a","b","a","b","a","c","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","b","b","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","c","c","c","b","b","a","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b"
"36","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d"
"37","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"38","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","b","d","c","d"
"39","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d"
"40","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d"
"41","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","b","c","b","b","b","b","b","b","b","b","b","b","b","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"42","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","b","d","b","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"43","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"44","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"45","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d"
"46","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"47","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d"
"48","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","c","a","d","b","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d"
"49","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"50","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d"
"51","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","d"
"52","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d"
"53","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","b","b","b","c","b","c","b","c","b","c","b","c","b","c","b","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"54","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","b","c","b","c","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"55","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","b","c","b","c","b","c","b","c","b","c","b","c","b","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"56","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b","c","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"57","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"58","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","a","c","a","d","a","d","a","d","b","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d"
"59","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","d","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","b","a","b"
"60","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c"
"61","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","a","c","a","d","a","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c"
"62","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a"
"63","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","a","a","a","a","a","b","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","c","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","c","a","b","a","b","a","b","a"
"64","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","b","d","b","c","a","c","a","c","a","c","a","b","a","b","a"
"65","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","d","a"
"66","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b"
"67","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","d","a","d","a","d","a","d","b","d","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","c","a","c","a","c","a","b","a","b","a","b","a"
"68","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a"
"69","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","b","d","a","d","a","c","a","c","a","c","a","b","a"
"70","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a","d","a","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b"
