"","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39"
"11","g","e","h","d","h","b","h","b","h","f","h","e","g","g","e","h","f","h","e","h","f","h","f","h","f","g","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","c","a","c","a","b","a","c","a","b","a","b","b","b","b","b","c","b","c","b","d","b","e","c","f","c","g","c","g","d","g","d"
"12","g","f","h","e","h","c","h","b","h","d","h","f","g","g","f","h","e","h","f","h","d","h","d","h","e","h","e","e","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","c","b","c","a","c","a","c","a","c","a","c","a","b","a","c","b","b","b","b","c","b","d","b","d","b","e","b","f","b","f","c","f","c","f","c"
"13","g","f","g","e","h","d","h","b","h","e","h","f","h","f","f","g","f","h","f","h","e","h","e","h","e","h","f","e","d","d","d","d","c","d","d","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","d","b","e","b","f","c","f","c","f","c","g","d"
"14","g","e","h","c","h","a","h","d","h","f","g","f","e","h","e","h","f","h","e","h","e","h","e","h","d","e","c","d","c","d","c","d","c","d","c","d","b","d","c","d","b","c","b","d","b","c","b","c","a","c","a","c","a","c","b","c","b","b","b","b","b","b","c","b","e","b","d","b","f","c","g","c","f","c","g","d","g","d"
"15","g","h","f","h","f","h","e","h","e","h","g","f","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","d","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","e","b","e","b","f","b","g","c","g","c","g","c","g","d","h","d","g","d","g","e","h","e","g","e","h","e","h","e","h","e"
"16","g","e","g","e","h","b","h","b","h","e","h","f","h","g","f","h","f","h","f","h","e","h","f","h","f","g","d","e","c","e","c","d","c","d","c","d","b","d","c","d","b","d","b","d","b","c","b","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","c","b","d","b","e","c","f","b","f","c","g","d","g","d"
"17","h","h","h","h","h","h","h","h","h","g","f","d","e","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","a","c","a","c","a","c","a","c","b","b","b","b","b","b","c","b","d","b","e","c","f","c","f","c","g","c","g","d","g","d","g","d","g","d","g","e","g","e"
"18","g","f","h","e","h","b","h","a","h","c","h","f","g","g","e","h","f","h","f","h","f","h","f","h","e","g","d","e","d","e","d","e","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","d","b","d","b","e","b","f","b","g","c"
"19","f","f","g","e","h","c","h","b","h","d","h","g","h","f","g","h","g","h","g","h","g","h","g","h","g","h","e","f","d","d","d","d","c","d","c","d","c","d","c","c","b","c","b","d","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","c","b","c","b","d","b","d","b"
"20","h","h","h","h","h","h","h","h","h","g","f","e","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","c","b","c","b","d","b","e","b","f","c","f","c","g","c","g","d","g","d","g","d","g","d","g","e"
"21","h","h","h","h","h","h","h","h","h","h","g","f","e","d","d","d","d","d","c","d","c","d","c","d","c","d","c","c","c","d","b","c","b","c","b","d","b","c","b","c","b","c","b","c","b","b","b","c","b","c","b","c","b","c","b","b","c","c","d","c","d","c","e","c","f","c","f","c","f","c","f","d","f","d","g","d","g","d"
"22","h","d","h","a","h","b","h","e","h","e","f","g","g","h","h","h","g","h","g","h","g","h","e","e","d","e","d","e","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","b","c","c","c","d","b","e","b","f","b","f","b"
"23","h","h","h","h","h","h","h","h","g","f","e","e","d","e","d","e","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","d","b","d","b","e","b","f","b","f","c","g","c","g","d","g","d","g","d","h","d","g","e"
"24","h","h","h","h","h","h","h","h","g","f","d","e","d","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","a","c","b","c","b","c","b","c","b","c","c","c","c","c","d","c","e","c","f","c","g","c","g","c","g","c","g","c","g","d","g","d","g","d","g","d","g","e"
"25","g","h","h","h","h","h","h","h","h","h","h","g","e","d","e","d","e","f","c","d","d","e","d","f","c","e","c","d","c","e","d","e","e","e","b","e","c","d","b","e","d","e","d","d","b","c","c","c","b","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","d","b","e","b","f","b","g","c","g","c","h","d","h","d"
"26","g","h","h","h","h","h","h","h","h","h","h","f","g","e","d","d","c","d","c","d","c","c","c","d","c","c","c","d","b","c","b","e","b","c","b","d","b","c","b","c","b","d","b","c","b","c","b","c","b","c","b","b","b","b","b","b","c","b","c","b","d","b","e","c","e","c","f","c","f","d","g","d","g","d","g","d","h","e"
"27","h","h","h","h","g","h","g","h","f","g","e","f","e","e","e","d","c","d","c","c","c","d","b","d","b","c","c","d","b","c","b","c","b","c","a","c","c","c","a","c","a","c","b","c","a","c","b","b","c","b","b","b","d","b","d","b","e","c","f","c","g","c","g","c","h","d","h","d","h","d","h","d","h","e","h","e","h","e"
"28","h","h","h","h","h","h","h","h","g","g","e","e","f","e","e","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","d","b","c","b","d","b","c","a","c","a","c","b","c","a","b","b","b","c","c","c","b","d","b","d","c","e","c","f","c","f","d","g","c","g","c","g","d","g","c","g","d","h","d","g","d"
"29","h","a","h","a","h","b","h","f","g","f","e","g","g","h","g","h","g","h","g","h","g","h","e","e","e","d","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","c","c","c","c","e","d","e","c"
"30","h","h","h","h","h","h","h","h","h","h","h","g","e","e","e","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","c","b","c","b","d","c","d","c","e","d","f","c","f","c","f","c","f","c","g","d","g","d","g","d"
"31","h","b","h","a","h","c","h","f","h","g","g","h","g","h","h","h","g","h","g","h","g","h","f","e","e","e","e","e","e","f","e","e","e","e","e","e","e","d","d","c","c","d","c","d","b","c","b","d","b","c","b","c","b","c","b","c","a","c","a","c","a","c","b","b","b","b","b","b","b","b","c","b","c","b","d","b","d","c"
"32","h","b","h","a","h","c","h","f","h","f","f","h","g","h","h","h","g","h","g","h","g","h","f","f","d","d","d","d","c","d","d","d","c","d","b","d","c","d","b","d","c","d","b","d","c","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","c","b","c","b","d","b","e","c","f","c"
"33","g","d","h","b","h","a","h","b","h","e","h","f","e","h","g","h","g","h","f","h","f","h","f","h","e","f","d","d","d","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","d","c","d","b","d","c","e","c","e","c","e","c"
"34","f","d","h","a","h","a","h","b","h","e","h","f","e","h","g","h","g","h","f","h","f","h","g","h","e","f","c","d","c","d","c","d","c","d","c","d","b","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","c","b","d","b","d","c","e","c","f","c","f","c"
"35","h","e","h","b","h","b","h","e","h","e","f","g","c","h","f","h","e","h","e","h","e","h","e","g","e","e","e","d","d","d","c","d","d","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","a","c","b","b","b","b","b","b","b","b","c","b","d","b","e","b","e","c","f","c","f","c","g","d","g","d"
"36","g","e","h","e","h","b","h","a","h","d","h","f","f","g","e","h","e","h","f","h","e","h","e","h","d","g","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","c","b","c","a","c","b","c","b","c","a","c","b","b","b","c","b","b","b","b","c","b","d","b","f","c","e","c","f","c","g","c"
"37","g","e","h","e","h","b","h","b","h","e","h","e","f","g","e","h","f","h","f","h","f","h","f","h","f","g","d","e","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","c","b","c","b","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","b","b","c","b","d","c","e","c","f","c","g","d","g","d"
"38","h","f","h","e","h","c","h","b","h","e","h","f","f","g","e","h","e","h","e","h","e","h","e","h","d","g","d","e","c","d","c","d","b","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","a","b","b","c","b","b","a","b","b","b","b","b","c","b","d","b","d","b","e","c","f","b","e","c","f","d","g","d"
"39","g","f","h","d","h","b","h","e","h","g","h","f","g","h","f","h","f","h","d","h","f","h","e","h","e","e","d","d","d","d","c","d","c","d","c","d","c","d","b","c","c","c","b","c","b","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","d","b","d","b","e","c","f","c","f","d","g","d","f","d","f","d"
"40","f","h","e","h","e","h","e","h","f","h","e","e","d","d","c","d","d","d","d","d","c","d","d","d","b","d","b","d","c","d","b","d","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","d","b","e","b","g","c","g","c","g","c","h","d","h","d","h","d","h","e","h","e","h","e","h","e","h","e","h","e"
"41","h","f","h","c","h","b","h","f","h","f","f","g","f","h","g","h","f","h","g","h","g","h","f","f","e","e","d","d","d","d","d","d","d","d","d","d","c","d","d","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","c","e","c","e","c","f","d","f","d","g","e"
"42","h","b","h","b","h","f","h","e","f","g","f","h","f","h","e","h","f","h","f","h","e","f","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","c","b","c","a","c","a","c","a","b","a","b","b","b","b","b","b","b","c","b","d","b","e","c","f","c","g","d","g","d","g","e","g","e","g","e"
"43","h","d","h","a","h","a","h","d","g","f","f","g","f","h","g","h","g","h","g","h","g","h","g","f","e","d","d","d","c","d","d","d","d","d","c","d","c","d","c","c","b","d","b","d","b","c","b","d","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","c","c","c","e","c","e","c","f","d","g","d","g","d"
"44","h","c","h","a","h","b","h","f","g","e","f","g","g","h","h","h","g","h","h","h","h","h","g","e","e","e","e","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","c","d","c","e","c","f","c","f","d"
"45","g","e","h","c","h","a","h","a","h","c","g","e","e","g","g","h","h","h","h","h","h","h","h","h","g","f","e","e","e","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","a","c","a","c","a","c","a","c","a","b","b","b","b","b","c","b","d","c"
"46","h","b","h","a","h","b","h","e","g","e","f","g","g","h","h","h","h","h","h","h","h","h","f","f","e","d","e","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","c","a","c","a","c","a","c","b","b","b","b","b","b","c","b","d","b","e","c"
"47","h","c","h","a","h","a","h","e","g","e","f","g","g","h","h","h","g","h","h","h","g","h","g","f","e","e","e","e","e","d","d","d","e","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","a","c","a","c","a","c","a","b","b","b","b","b","b","b","c","b","d","b"
"48","h","h","h","h","h","h","g","h","g","g","f","e","f","e","f","d","e","d","e","d","e","d","e","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","b","d","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","b","b","b","b","c","b","e","b","f","b","f","c","g","c","h","c","h","d","h","d","h","d"
"49","h","c","h","a","h","a","h","d","g","e","e","g","g","h","h","h","g","h","h","h","g","h","g","g","e","e","e","e","e","d","d","d","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","b","c","b","d","b","d","b","c","b","c","a","c","b","c","a","c","b","b","b","b","b","b","c","b","c","b"
"50","g","d","h","a","h","a","h","d","h","f","g","g","g","h","h","h","h","h","h","h","h","h","g","g","e","e","e","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","c","b","c","b","c","a","c","b","b","b","c","b","b","b","b","b","b","c","b","d","b"
"51","g","e","h","b","h","a","h","b","h","e","h","f","e","g","g","h","g","h","f","h","g","h","g","h","e","f","e","e","e","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","a","c","a","b","b","b","b","b","b","b","c","b","c","b"
"52","g","e","g","d","h","a","h","a","h","b","h","e","f","f","e","h","g","h","g","h","g","h","f","h","g","g","f","d","d","e","d","d","e","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","a","c","a","c","b","b","b","b","b","b","c","b"
"53","g","d","h","a","h","a","h","d","g","e","e","g","g","h","h","h","g","h","g","h","g","h","g","g","e","d","e","e","e","d","d","e","e","d","d","e","e","d","d","d","d","d","d","d","c","d","c","d","c","d","c","c","b","c","b","c","b","d","b","c","a","d","b","c","b","c","b","c","b","b","b","b","b","b","b","b","c","b"
"54","g","e","h","c","h","a","h","a","h","c","g","e","d","g","g","h","h","h","g","h","h","h","g","h","f","g","d","e","e","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","c","b"
"55","g","e","g","c","h","a","h","a","h","c","h","f","f","g","g","h","g","h","g","h","g","h","f","h","f","g","e","e","d","d","d","d","d","d","c","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","b","d","c","c","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","c","b"
"56","g","e","h","b","h","a","h","b","h","e","g","f","e","g","g","h","h","h","g","h","g","h","g","h","e","f","e","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","c","b","c","b"
"57","h","b","h","a","h","c","h","f","h","f","e","g","g","h","h","h","g","h","g","h","g","h","f","f","e","d","d","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","c","b","c","b","d","b"
"58","g","d","h","a","h","a","h","c","h","e","f","f","f","h","g","h","h","h","g","h","g","h","g","h","f","e","d","d","d","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","c","b"
"59","f","h","g","h","h","h","g","h","f","g","c","e","b","e","b","d","b","d","b","d","b","d","b","d","c","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","c","c","c","c","b","c","b","c","b","c","c","b","d","b","d","b","e","b","g","b","g","b","h","b","h","c","h","c","h","c","h","c","h","c"
"60","h","h","h","h","h","h","h","h","h","h","f","e","d","e","e","e","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","a","c","b","c","b","c","b","b","b","b","c","b","c","b","d","b","e","b","g","b","g","c","h","c","h","c","h","d","h","d"
"61","h","b","h","a","h","c","h","f","h","f","f","g","g","h","h","h","h","h","g","h","g","h","f","e","d","d","e","e","d","d","d","d","c","d","c","d","c","d","c","e","c","d","c","d","c","d","b","d","c","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","c","b","d","b","d","c"
"62","h","a","h","a","h","c","h","f","g","g","g","h","h","h","h","h","h","h","g","h","g","g","e","d","e","e","d","e","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","d","b","c","b","c","b","c","b","c","b","b","b","b","b","c","b","b","b","b","c","c","d","c"
"63","h","b","h","a","h","b","h","e","h","f","f","h","g","h","h","h","g","h","g","h","g","h","e","e","d","e","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","c","b","e","c","e","c"
"64","h","c","h","a","h","b","h","f","h","f","f","h","h","h","h","h","g","h","g","h","g","h","e","f","e","e","e","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","c","b","d","c"
"65","g","e","g","d","h","a","h","a","h","b","h","e","e","g","f","h","h","h","g","h","g","h","g","h","g","g","e","e","d","e","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","c","b","c","b","d","b"
"66","h","b","h","a","h","c","h","f","h","f","f","h","g","h","h","h","g","h","h","h","h","h","f","f","e","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","c","b","c","b","d","b"
"67","h","c","h","a","h","a","h","d","g","e","c","g","f","h","g","h","g","h","h","h","g","h","g","g","e","e","d","d","d","d","c","d","c","d","c","d","b","d","c","d","b","d","c","d","c","d","b","d","c","d","c","d","b","d","b","c","b","c","b","c","b","c","b","c","c","c","b","c","c","b","b","b","c","b","d","b","e","b"
"68","e","d","g","c","h","a","h","a","h","d","g","e","b","f","b","h","f","h","f","h","e","h","e","h","f","g","e","d","d","d","c","d","c","d","d","d","c","d","b","d","f","d","b","d","c","d","c","d","d","d","c","d","c","c","b","d","c","d","b","c","b","c","b","c","c","c","b","b","c","c","e","c","d","b","e","b","f","b"
"69","f","e","h","c","h","a","h","a","h","c","g","e","c","g","e","h","g","h","g","h","g","h","g","h","f","g","c","e","d","d","d","d","c","d","d","d","c","d","d","d","c","d","c","d","b","d","b","d","c","d","c","d","b","c","b","c","b","d","b","c","c","c","b","c","b","c","b","c","c","b","c","b","c","b","d","b","e","b"
"70","g","e","h","b","h","a","h","a","h","d","f","e","d","g","g","h","h","h","g","h","h","h","h","h","f","f","d","e","d","e","d","e","d","d","c","d","c","d","d","d","c","d","c","d","c","d","c","d","b","d","b","d","c","d","b","c","b","c","b","c","b","c","b","c","b","c","a","b","c","c","c","b","c","b","d","b","d","b"
"71","h","h","h","h","g","h","g","h","f","g","f","e","e","e","d","d","d","e","f","e","c","e","c","d","c","d","d","d","b","d","b","d","b","d","b","d","b","d","a","d","b","c","a","c","b","c","a","c","a","b","b","c","b","b","b","b","e","b","d","b","e","b","f","b","f","c","h","c","h","c","h","c","h","d","h","d","h","d"
"72","f","d","h","b","h","a","h","b","h","e","g","e","d","h","f","h","g","h","f","h","g","h","f","h","e","g","e","e","d","d","d","d","c","d","d","d","b","d","d","d","c","d","c","d","c","d","c","d","b","d","c","d","b","c","b","c","b","c","b","c","a","c","a","c","c","c","b","b","b","c","c","b","d","b","e","b","e","b"
"73","h","h","h","h","h","h","h","h","h","h","f","e","d","d","d","d","c","e","d","d","d","d","c","d","c","d","b","d","b","d","b","d","b","d","b","c","b","d","a","d","b","c","a","c","b","c","b","c","a","c","b","b","b","b","c","c","c","b","d","b","d","c","f","b","f","c","g","c","g","c","g","c","h","d","h","e","h","d"
"74","g","h","h","h","g","h","f","h","g","f","e","d","g","d","c","e","b","d","b","d","d","d","b","d","e","d","c","e","b","d","b","c","c","e","b","c","a","c","c","f","a","c","b","c","b","c","b","c","c","b","a","f","b","b","f","b","b","e","f","a","f","d","f","b","h","c","g","b","h","e","h","d","h","d","h","e","h","d"
"75","g","e","h","c","h","a","h","b","h","d","g","f","c","g","d","h","f","h","d","h","e","h","c","h","e","g","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","c","b","c","b","d","b","e","b","f","b"
"76","f","e","h","b","h","a","h","a","h","d","g","e","c","g","f","h","g","h","g","h","g","h","g","h","f","g","d","e","d","d","d","e","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","b","d","b","c","a","c","b","c","b","c","b","c","b","b","c","b","c","b","c","b","d","b","e","b"
"77","g","e","g","d","h","a","h","a","h","b","h","e","f","g","f","h","g","h","h","h","g","h","g","h","g","h","e","e","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","c","b","c","b","d","b","e","b"
"78","g","d","h","a","h","a","h","b","h","f","g","e","d","g","f","h","h","h","g","h","g","h","g","h","f","e","d","d","d","e","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","c","b","d","b","e","c"
"79","g","d","h","a","h","a","h","b","h","f","g","f","c","h","e","h","g","h","f","h","f","h","g","h","e","e","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","c","b","d","b","e","b","e","b"
"80","g","e","h","b","h","a","h","b","h","e","g","e","d","g","f","h","g","h","f","h","g","h","f","h","f","g","e","e","e","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","c","b","c","b","d","b","e","b"
"81","f","e","h","d","h","b","h","a","h","c","g","f","d","g","d","h","g","h","f","h","g","h","e","h","f","h","e","e","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","c","b","c","b","c","b","d","b","e","b","e","b"
"82","g","e","h","b","h","a","h","b","h","e","g","e","c","g","f","h","g","h","f","h","g","h","g","h","e","f","d","e","d","e","c","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","c","b","c","b","b","c","b","d","b","c","b","d","b","f","b","f","b"
