"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39"
"11","e","c","e","c","e","a","e","b","e","d","e","c","d","e","c","e","d","e","c","e","d","e","d","e","d","d","c","c","c","c","b","c","b","c","b","b","b","c","b","c","b","b","a","b","a","c","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","c","b","c","b","d","b","d","b","d","c","e","c"
"12","e","d","e","c","e","b","e","a","e","c","e","d","e","d","d","e","c","e","d","e","c","e","c","e","c","e","c","c","c","c","c","c","b","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","a","c","b","c","b","d","b","d","b","d","b","d","b"
"13","e","d","e","c","e","c","e","a","e","c","e","d","e","d","d","e","d","e","d","e","c","e","d","e","c","e","d","c","b","c","c","c","b","c","b","c","b","c","b","c","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","d","b","d","b","d","b","d","b"
"14","e","d","e","b","e","a","e","b","e","d","e","d","c","e","c","e","d","e","c","e","c","e","c","e","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","c","a","b","b","d","b","d","b","d","b","e","b","e","c"
"15","e","e","d","e","d","e","d","e","c","e","d","d","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","c","a","c","a","d","b","d","b","d","b","e","b","e","c","e","c","e","c","e","c","e","c","e","c","e","c","e","c","e","c"
"16","d","d","e","c","e","b","e","a","e","c","e","d","e","d","d","e","d","e","d","e","d","e","d","e","d","e","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","c","a","c","b","d","b","d","b","d","c","e","c"
"17","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","b","c","b","c","b","b","b","c","b","b","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","e","c","e","c","e","c","e","c","e","c","e","c"
"18","d","d","e","c","e","a","e","a","e","b","e","d","e","e","d","e","d","e","d","e","d","e","d","e","c","e","b","d","b","d","c","c","b","c","b","c","b","c","b","b","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","b","c","b","c","b","d","b","d","b"
"19","d","d","e","c","e","b","e","a","e","c","e","e","e","d","d","e","e","e","e","e","d","e","d","e","d","e","c","d","c","c","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","b","b","a","c","b"
"20","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","d","c","e","c","e","c","e","c","e","c"
"21","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","b","c","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c"
"22","e","c","e","a","e","a","e","c","e","d","d","e","e","e","e","e","e","e","e","e","e","e","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","c","a","b","a","b","a","b","b","b","a","b","a","b","b","b","b","b","b","b","b","b","b","b","b","b","c","b","c","b","d","a","d","a"
"23","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","e","b","e","c","e","c","e","c","e","c"
"24","e","e","e","e","e","e","e","e","e","d","c","c","c","c","b","c","b","c","b","c","b","c","b","b","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","e","b","e","b","e","b","e","c","e","c","e","c","e","c"
"25","e","e","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","d","b","c","c","c","c","d","b","c","b","c","b","c","c","c","c","c","a","c","b","c","a","d","c","c","c","c","a","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","b","c","a","d","b","e","b","e","b","e","b","e","b"
"26","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","b","c","b","c","b","b","b","c","b","b","b","c","b","b","b","c","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","b","b","b","c","b","c","b","c","b","d","b","d","c","d","c","e","c","d","c","e","d"
"27","e","e","e","e","d","e","d","e","d","e","d","d","c","c","c","c","b","c","b","b","b","c","a","c","a","b","b","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","b","b","a","b","c","b","b","b","d","b","d","b","d","b","e","b","e","c","e","c","e","c","e","c","e","c","e","c","e","c"
"28","e","e","e","e","e","e","e","e","e","e","d","d","d","d","c","c","b","b","b","c","b","c","b","b","a","c","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","b","b","b","d","b","d","b","d","c","e","b","e","b","e","b","e","b","e","c","e","c","d","c"
"29","e","a","e","a","e","b","e","d","e","d","d","e","d","e","e","e","e","e","e","e","e","e","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b"
"30","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b","c","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c"
"31","e","a","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","d","c","d","c","d","c","c","d","c","c","c","c","c","c","c","c","b","b","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","b","b","b","c","b","c","b"
"32","e","b","e","a","e","b","e","d","e","d","d","e","e","e","e","e","d","e","d","e","e","e","d","d","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","b","b","a","b","a","b","a","b","b","b","a","b","b","b","b","b","b","b","b","b","b","b","c","b","c","b","d","b"
"33","e","c","e","a","e","a","e","b","e","d","e","d","c","e","d","e","e","e","d","e","d","e","d","e","c","d","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b","c","b","c","b","d","b","d","b"
"34","d","c","e","a","e","a","e","a","e","c","e","d","c","e","d","e","d","e","d","e","d","e","e","e","c","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b","c","b","d","b","d","b"
"35","e","c","e","b","e","a","e","c","e","c","d","d","b","e","d","e","c","e","c","e","c","e","c","e","c","c","c","c","b","c","b","c","c","c","b","c","b","b","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","c","b","c","b","c","b","d","b","d","b","d","b","d","c"
"36","e","d","e","c","e","a","e","a","e","c","e","d","d","e","c","e","d","e","d","e","d","e","c","e","c","e","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","b","b","a","c","b","d","b","d","b","d","b","e","b"
"37","e","d","e","c","e","a","e","a","e","c","e","d","d","d","d","e","d","e","d","e","d","e","d","e","d","e","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","b","b","a","b","b","b","a","c","b","d","b","d","b","d","b","e","c"
"38","e","d","e","d","e","b","e","b","e","c","e","d","d","e","c","e","c","e","d","e","d","e","c","e","c","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","b","a","b","a","c","b","d","b","c","b","d","b","d","c"
"39","d","d","e","b","e","a","e","c","e","d","e","d","d","e","d","e","d","e","c","e","d","e","d","e","c","c","b","c","b","c","b","c","b","b","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","b","c","b","d","b","d","b","d","c","d","c","d","c"
"40","d","e","c","e","c","e","c","e","d","e","d","c","c","c","b","c","c","c","c","c","b","c","c","c","b","c","a","c","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","c","a","d","a","e","b","e","b","e","b","e","b","e","c","e","c","e","c","e","c","e","c","e","d","e","c","e","c"
"41","e","d","e","b","e","b","e","d","e","d","d","e","d","e","d","e","d","e","d","e","d","e","d","d","c","c","c","c","c","c","c","c","b","c","b","b","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","b","b","b","c","b","c","b","d","c","d","c","d","c"
"42","e","a","e","a","e","d","e","d","d","e","d","e","d","e","c","e","d","e","d","e","c","d","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","c","b","c","b","d","b","d","b","e","b","d","c","e","c","e","c"
"43","e","c","e","a","e","a","e","c","e","d","d","e","d","e","e","e","d","e","e","e","e","e","d","d","c","c","c","c","b","c","c","c","c","c","b","c","b","c","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b","d","c","d","c","d","c"
"44","e","b","e","a","e","a","e","d","e","c","d","e","d","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","b","b","b","c","b","c","b","d","b","d","b"
"45","e","c","e","b","e","a","e","a","e","b","e","c","c","d","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b"
"46","e","a","e","a","e","a","e","c","e","c","d","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b"
"47","e","b","e","a","e","a","e","c","e","c","d","e","d","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","b","b","b","b","c","b"
"48","e","e","e","e","e","e","e","e","e","e","d","c","d","c","d","c","c","c","d","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","b","c","b","d","b","d","b","e","b","e","b","e","c","e","c","e","c"
"49","e","b","e","a","e","a","e","c","e","c","c","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a"
"50","e","c","e","a","e","a","e","b","e","d","d","e","e","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","b","b","b"
"51","d","c","e","a","e","a","e","b","e","c","e","d","c","e","e","e","e","e","d","e","d","e","d","e","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a"
"52","d","d","e","c","e","a","e","a","e","a","e","c","d","d","c","e","d","e","e","e","e","e","d","e","d","e","d","c","c","c","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","b"
"53","e","c","e","a","e","a","e","b","e","d","c","d","d","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","c","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a"
"54","d","c","e","b","e","a","e","a","e","b","e","c","c","e","d","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a"
"55","d","c","e","b","e","a","e","a","e","b","e","d","d","e","e","e","e","e","e","e","e","e","d","e","d","d","c","c","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a"
"56","e","c","e","a","e","a","e","a","e","c","e","d","c","e","e","e","e","e","d","e","d","e","e","e","c","d","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","a","b","b"
"57","e","a","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","b","b","b"
"58","e","b","e","a","e","a","e","b","e","c","d","d","d","e","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","b","a","b","a"
"59","d","e","d","e","e","e","d","e","d","e","b","c","b","c","a","c","b","c","a","c","a","c","a","c","b","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","c","b","c","a","c","b","d","a","e","b","e","b","e","b","e","b","e","b","e","b","e","b"
"60","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","d","b","d","b","e","b","e","b","e","b","e","c","e","c"
"61","e","a","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","a","b","a","c","b","c","b"
"62","e","a","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b"
"63","e","a","e","a","e","a","e","c","e","d","d","e","e","e","e","e","e","e","e","e","e","e","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","d","b"
"64","e","b","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b"
"65","d","c","e","c","e","a","e","a","e","a","e","c","d","d","d","e","e","e","e","e","e","e","d","e","d","e","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","c","b","b","a","b","b","c","a","b","b","b","a","b","a","b","a","b","b","b","b","b","b","b","b","b","b","b"
"66","e","b","e","a","e","b","e","d","e","d","d","e","e","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b"
"67","e","b","e","a","e","a","e","c","d","c","b","e","d","e","e","e","e","e","e","e","e","e","e","e","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","a","b","a","b","b","b","a","b","a","b","b","b","a","b","b","b","b","b","b","b","c","b","d","b"
"68","d","c","e","b","e","a","e","a","e","b","e","c","b","d","a","e","d","e","d","e","c","e","c","e","d","e","c","c","b","c","b","c","b","c","c","c","b","c","b","b","d","c","a","c","b","c","b","c","b","c","b","b","b","b","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","c","b","c","b","c","b","d","b"
"69","d","c","e","b","e","a","e","a","e","b","d","c","b","e","d","e","e","e","d","e","e","e","d","e","d","d","b","c","c","c","c","c","b","c","b","c","b","c","c","c","b","c","b","c","b","b","b","c","b","c","b","c","b","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","d","b"
"70","d","c","e","a","e","a","e","a","e","c","d","c","c","e","d","e","e","e","e","e","e","e","e","e","d","d","c","c","b","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b"
"71","e","e","e","e","d","e","d","e","d","d","d","c","d","c","c","c","c","c","d","c","b","c","b","c","b","c","c","c","b","c","b","c","a","c","a","c","a","b","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","c","b","c","b","c","b","d","b","d","b","e","b","e","b","e","b","e","c","e","c","e","c"
"72","d","c","e","b","e","a","e","b","e","c","e","d","c","e","d","e","e","e","d","e","d","e","d","e","c","d","d","c","c","c","b","c","b","c","c","c","b","c","c","c","b","c","b","c","b","c","b","b","a","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","b","a","c","a","c","a","c","b"
"73","e","e","e","e","e","e","e","e","e","e","d","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","b","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","a","c","b","d","b","d","b","e","b","e","b","e","b","e","c","e","c","e","c"
"74","d","e","e","e","e","e","d","e","d","d","c","c","e","c","b","c","b","c","a","c","c","c","b","c","c","b","b","c","a","c","a","b","b","c","a","b","a","b","b","d","a","b","a","b","b","b","b","b","b","a","a","d","a","a","d","a","a","c","d","a","d","c","d","a","e","b","d","b","e","c","e","c","e","b","e","c","e","c"
"75","d","c","e","b","e","a","e","a","e","c","d","d","b","e","c","e","d","e","b","e","c","e","b","e","c","d","c","c","c","c","c","c","b","c","c","c","c","c","c","c","b","b","b","c","b","c","b","b","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","b","b","c","b","c","b","d","b"
"76","d","c","e","b","e","a","e","a","e","c","d","c","b","e","d","e","e","e","e","e","e","e","e","e","d","d","c","c","c","c","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b"
"77","d","d","e","c","e","a","e","a","e","a","e","c","d","d","d","e","e","e","e","e","e","e","e","e","e","e","c","c","b","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b"
"78","d","c","e","a","e","a","e","b","e","d","d","c","c","e","d","e","e","e","d","e","e","e","e","e","d","d","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b"
"79","e","c","e","a","e","a","e","b","e","d","d","d","b","e","d","e","e","e","d","e","d","e","d","e","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","a","c","b","d","b"
"80","d","c","e","b","e","a","e","a","e","c","e","c","b","e","d","e","e","e","d","e","d","e","d","e","d","d","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b"
"81","d","c","e","c","e","a","e","a","e","b","e","d","c","d","c","e","d","e","d","e","e","e","c","e","d","e","c","d","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b","c","b"
"82","e","c","e","a","e","a","e","a","e","c","d","d","b","e","d","e","e","e","d","e","d","e","e","e","c","d","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","b","b","c","a","d","b","d","b"
