"subject_id","V1__1","V2__1","V3__1","V4__1","V5__1","V6__1","V1__2","V2__2","V3__2","V4__2","V5__2","V6__2","V1__3","V2__3","V3__3","V4__3","V5__3","V6__3","V1__4","V2__4","V3__4","V4__4","V5__4","V6__4","V1__5","V2__5","V3__5","V4__5","V5__5","V6__5","V1__6","V2__6","V3__6","V4__6","V5__6","V6__6","V1__7","V2__7","V3__7","V4__7","V5__7","V6__7","V1__8","V2__8","V3__8","V4__8","V5__8","V6__8","V1__9","V2__9","V3__9","V4__9","V5__9","V6__9","V1__10","V2__10","V3__10","V4__10","V5__10","V6__10","V1__11","V2__11","V3__11","V4__11","V5__11","V6__11","V1__12","V2__12","V3__12","V4__12","V5__12","V6__12","V1__13","V2__13","V3__13","V4__13","V5__13","V6__13","V1__14","V2__14","V3__14","V4__14","V5__14","V6__14","V1__15","V2__15","V3__15","V4__15","V5__15","V6__15"
"12","a","a","a","d","a","c","a","a","a","d","a","d","c","d","c","a","c","b","c","d","b","a","c","b","a","c","c","b","b","c","c","c","b","b","c","a","d","d","d","b","c","c","c","c","b","b","c","c","c","c","a","c","c","c","c","b","b","c","c","b","c","b","d","c","c","b","c","c","b","b","c","b","c","b","d","b","c","c","c","b","c","b","c","b","c","b","d","b","c","b"
"13","c","a","a","d","c","a","d","a","c","d","d","c","d","b","a","b","d","a","c","b","c","c","c","d","a","a","c","c","c","d","b","c","d","b","b","a","c","c","c","b","c","d","c","c","c","b","b","a","b","c","b","b","c","c","b","c","c","b","a","a","b","c","d","b","b","a","b","c","c","b","b","c","b","d","a","a","a","c","a","d","d","b","b","a","a","d","c","a","a","c"
"14","a","d","d","a","a","a","b","d","b","a","b","a","c","d","a","a","d","a","c","c","c","c","c","d","c","b","a","c","c","d","c","b","b","c","c","d","c","a","c","c","c","a","c","b","b","c","c","d","c","b","b","c","c","a","b","b","a","c","b","a","c","b","d","c","c","d","c","b","b","c","c","d","c","b","b","c","c","a","c","b","b","c","c","a","c","b","c","c","c","d"
"15","c","b","c","b","b","b","c","b","c","b","b","b","c","b","c","b","b","b","c","b","c","b","b","b","d","b","c","b","b","b","a","d","a","d","d","d","a","d","a","d","d","d","a","c","c","b","b","b","b","b","c","b","b","c","d","b","c","b","b","b","c","b","c","b","b","b","d","b","c","b","b","b","d","b","c","b","b","b","d","b","c","b","b","b","d","b","c","b","b","b"
"16","c","c","b","a","c","a","d","a","a","a","a","c","d","a","a","c","a","d","d","a","a","b","a","d","a","c","c","d","c","b","a","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b"
"17","c","c","b","a","b","d","a","a","a","a","c","a","a","a","a","b","d","d","d","a","c","d","a","a","c","b","c","d","b","c","d","c","c","c","d","b","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","c","c","a","b","b","c","c","c","a","c","b","c","c","c","a","c","b","d","c","c","b","c","c","c","c","c","b","c"
"18","d","d","a","b","c","c","d","a","b","d","d","a","d","a","d","c","d","c","d","a","a","d","c","c","d","a","a","d","a","a","a","b","c","c","b","c","d","a","d","d","b","c","a","d","b","a","a","c","d","a","d","b","c","c","a","b","b","c","d","c","d","a","a","c","a","a","a","d","b","b","d","a","d","d","c","a","d","c","a","d","c","a","a","c","a","d","c","a","b","c"
"19","c","d","b","a","d","d","a","b","b","d","c","c","a","c","a","d","a","d","d","a","d","d","d","b","d","a","b","c","c","b","c","b","c","c","d","b","c","b","a","d","b","b","a","c","c","a","b","b","a","c","d","c","b","b","c","c","d","a","a","b","a","c","a","a","b","b","a","c","d","a","a","c","c","c","d","a","c","a","d","c","c","b","d","b","a","b","c","c","a","b"
"20","c","b","c","a","a","c","c","b","c","a","a","c","c","c","b","c","d","b","a","d","a","d","a","a","a","d","a","d","a","a","a","c","c","b","c","d","c","b","c","b","b","b","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c"
"21","b","c","b","b","b","b","a","d","a","d","a","a","a","d","a","d","a","a","d","a","c","b","d","d","c","b","c","b","c","d","c","b","c","b","b","b","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c","c","b","c","b","c","c"
"22","b","d","c","a","b","c","a","c","b","b","b","c","a","a","a","c","a","d","a","a","a","a","a","d","a","a","a","a","a","d","d","c","c","d","d","b","b","c","c","c","c","a","c","d","c","c","c","b","c","c","c","c","d","a","c","c","c","c","c","a","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b"
"23","c","b","c","d","c","b","b","c","c","c","b","c","a","a","a","a","a","d","a","a","b","b","a","d","a","a","a","a","a","d","a","b","c","d","a","d","d","d","c","b","d","a","c","d","c","b","c","b","c","d","c","c","c","a","d","c","c","c","c","a","c","c","c","c","c","a","c","c","c","c","c","a","c","c","c","c","c","a","c","c","c","c","c","b","c","c","c","c","c","a"
"24","a","d","a","a","d","d","a","d","a","a","d","d","c","d","c","b","a","a","c","d","c","b","a","a","c","d","c","c","c","b","c","c","c","c","a","b","c","b","c","c","b","b","c","b","c","c","b","b","c","b","c","c","b","b","c","b","c","c","c","b","c","a","c","c","c","b","c","a","c","c","d","b","c","a","c","c","d","b","c","a","c","c","c","b","c","a","c","c","b","b"
"25","a","a","c","c","c","c","b","a","c","d","c","d","d","d","a","a","a","a","d","d","a","a","a","a","d","d","a","a","a","a","a","c","c","c","c","c","b","a","c","d","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c"
"26","d","d","d","d","d","a","d","b","d","d","d","a","d","d","d","c","d","a","c","d","c","c","d","a","c","c","d","c","d","b","c","c","d","c","d","c","c","c","c","c","c","c","b","c","c","c","b","c","b","b","c","c","c","c","c","a","b","c","c","d","b","a","b","c","b","d","b","a","a","b","b","d","b","b","a","a","a","d","a","b","a","a","a","c","a","c","a","a","a","d"
"27","a","c","d","d","d","c","a","c","d","d","c","c","a","c","d","d","c","c","a","c","d","d","c","c","a","c","d","d","c","c","b","c","c","c","c","b","b","c","c","c","d","b","c","c","c","c","d","a","c","c","c","c","c","a","c","c","b","b","c","b","c","c","b","a","b","b","d","c","b","a","b","a","d","b","a","a","a","a","d","a","a","a","a","b","d","a","a","b","a","d"
"28","b","b","c","c","c","c","b","b","c","c","c","c","c","c","c","b","c","b","d","d","a","a","a","a","d","a","a","a","a","b","a","d","c","b","b","b","c","a","c","d","c","c","d","c","c","c","c","c","c","b","c","c","c","c","b","b","c","c","c","c","c","b","c","c","c","c","b","b","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c"
"29","b","b","d","d","d","c","d","a","d","d","d","c","b","c","d","d","d","c","b","b","d","d","d","c","b","b","d","d","d","d","b","b","d","d","d","c","b","b","c","c","c","c","a","b","c","c","c","c","a","a","c","c","b","c","a","b","c","b","b","c","c","c","b","b","b","b","d","d","b","a","a","a","d","d","a","a","a","a","d","d","a","a","a","a","b","a","a","a","a","a"
"30","d","c","c","d","d","b","d","a","d","d","d","d","a","b","d","c","b","b","b","b","b","c","c","b","b","b","a","d","d","b","b","c","d","b","b","b","b","a","d","c","b","b","d","c","b","b","b","b","b","d","d","a","b","d","b","d","b","a","c","b","a","c","b","b","a","b","b","c","a","a","a","b","d","a","b","c","b","d","b","b","c","b","b","b","d","a","a","b","a","d"
"31","d","a","d","d","d","a","d","a","d","d","d","b","d","b","d","d","d","b","d","a","d","d","d","b","c","b","d","c","d","b","c","a","c","d","d","b","c","b","c","c","c","c","c","b","c","c","c","a","b","b","b","b","b","a","b","b","b","b","b","b","b","c","b","b","b","c","a","d","a","a","a","c","a","d","a","a","a","d","a","d","a","a","a","d","a","d","a","a","a","d"
"32","a","d","d","b","c","b","a","d","d","b","c","d","a","d","d","b","b","d","a","d","d","b","a","d","a","c","c","c","a","d","a","b","c","d","a","d","c","a","b","d","c","b","c","a","b","c","c","b","d","a","a","d","d","b","d","a","b","c","d","b","d","a","b","c","d","a","c","b","b","c","c","a","d","b","b","c","d","b","d","b","b","b","d","b","d","d","a","a","a","a"
"33","a","a","d","d","d","d","c","a","d","d","d","d","d","a","b","c","d","b","d","c","a","a","b","a","d","d","a","a","b","a","c","c","a","a","b","a","b","c","b","b","b","c","b","c","b","b","b","c","b","c","b","b","b","b","b","c","b","b","b","b","b","c","c","b","b","b","b","c","c","b","b","c","b","c","c","b","b","c","b","c","c","b","b","c","a","c","c","b","b","c"
"34","c","d","a","d","d","d","c","d","a","d","d","d","c","d","a","d","d","c","a","d","a","c","c","c","a","c","b","c","c","c","a","c","b","b","c","c","c","b","c","b","b","c","c","b","c","b","b","b","c","b","c","b","b","b","c","b","c","b","b","a","c","a","c","b","b","a","c","a","d","a","a","a","c","a","d","a","a","a","c","a","d","a","a","a","c","a","d","a","a","a"
"35","b","a","d","b","b","b","b","b","d","b","b","b","c","a","d","d","b","b","c","a","d","d","b","a","b","b","c","d","b","b","a","b","c","d","a","c","a","c","b","c","a","a","b","b","b","c","a","a","b","c","b","b","b","c","a","c","b","a","b","c","d","b","b","c","d","a","d","c","a","b","d","d","a","d","a","a","d","d","c","d","a","c","d","d","d","d","a","a","d","d"
"36","d","d","d","a","a","d","d","d","d","a","a","d","d","d","d","a","a","c","c","c","d","a","a","d","d","d","d","a","b","d","d","c","d","b","b","d","d","b","c","b","c","d","d","b","c","b","c","d","c","d","c","b","d","c","b","d","b","c","d","b","a","d","b","c","a","a","a","b","a","d","a","a","a","a","a","d","c","a","a","a","a","d","d","a","a","a","a","d","d","b"
"37","a","a","d","d","a","a","a","a","d","c","a","a","a","a","d","a","a","a","a","b","d","a","a","a","b","c","c","a","b","b","c","c","a","b","b","b","c","d","a","c","c","c","c","d","a","c","c","c","c","c","b","c","c","c","c","c","b","d","d","d","c","c","b","c","d","c","c","c","b","a","d","d","c","c","b","a","d","d","d","c","b","d","d","d","d","c","b","d","d","d"
"38","b","b","c","b","a","b","d","d","b","b","a","b","b","b","a","b","d","b","b","b","c","d","a","b","b","b","c","b","a","b","b","b","c","b","a","b","b","b","c","b","d","b","b","b","c","b","a","b","b","b","c","b","a","b","b","b","a","b","d","b","b","b","a","b","d","b","b","b","d","b","a","b","b","b","d","b","a","b","b","b","a","b","d","b","b","d","d","d","a","b"
"39","b","b","c","c","c","c","b","b","c","c","c","c","b","b","b","c","c","c","d","a","c","d","c","c","d","b","a","c","c","a","a","d","a","a","a","a","b","d","d","a","b","a","d","a","b","d","c","c","d","b","a","d","b","c","d","a","d","d","d","c","a","d","a","a","a","c","b","b","d","b","b","c","b","b","d","c","c","c","d","d","d","a","a","a","b","b","a","c","a","c"
"40","c","b","a","d","c","a","c","a","b","d","d","c","a","c","a","c","a","c","d","a","c","d","d","c","b","c","b","b","d","a","b","b","b","a","a","a","d","c","a","c","c","c","d","b","d","c","d","d","a","d","c","a","b","c","b","d","a","b","a","c","c","c","d","a","b","a","b","c","c","b","a","a","c","b","d","c","c","a","c","a","c","c","c","c","b","c","c","b","b","c"
"41","b","b","a","c","c","c","a","d","c","a","b","a","b","b","d","a","a","d","d","d","d","b","d","c","a","b","a","c","b","c","d","a","b","d","d","a","b","d","a","b","b","c","a","d","c","c","a","c","a","d","c","b","b","c","d","b","d","c","d","a","b","b","c","c","a","c","b","d","d","a","a","c","b","a","a","d","c","c","a","d","b","a","a","c","d","a","b","d","d","a"
"42","b","c","b","c","b","a","c","b","d","d","c","b","c","b","c","c","d","b","b","c","a","b","c","d","b","c","a","c","b","b","c","d","b","b","b","b","a","d","c","a","a","a","d","c","d","c","d","d","b","c","c","b","a","a","a","d","b","a","a","a","c","a","b","d","b","d","b","a","b","d","b","d","b","a","b","c","c","b","c","b","b","d","b","b","b","b","b","d","b","d"
"43","b","b","b","a","b","b","b","b","a","d","a","b","b","b","b","a","d","b","b","b","d","d","d","b","b","b","b","d","b","b","b","b","b","a","d","b","b","b","b","d","b","b","b","b","b","a","d","b","b","b","b","a","b","b","b","b","b","a","d","b","d","d","b","a","b","b","b","b","b","d","b","b","b","b","b","d","b","b","b","b","d","d","d","b","b","b","d","a","b","b"
"44","d","a","c","d","d","c","b","c","a","c","b","a","d","c","d","b","d","a","b","c","c","a","b","a","c","d","c","a","b","a","d","a","d","d","c","c","d","d","d","b","d","c","a","d","b","a","a","c","b","c","b","b","b","a","a","c","c","b","a","d","b","b","b","c","a","c","d","a","b","d","d","c","b","a","a","d","a","c","c","a","d","c","d","c","a","d","b","a","a","c"
"45","d","b","d","c","d","a","a","d","b","a","a","c","d","b","d","c","c","c","b","d","d","a","b","d","a","c","b","b","a","c","d","a","b","d","c","c","d","a","b","d","d","c","a","c","a","c","b","c","a","c","b","b","a","a","b","d","d","b","a","c","a","d","b","a","a","c","d","c","d","a","d","a","b","b","b","c","d","c","d","a","a","d","d","c","b","a","a","d","b","a"
"46","d","b","b","c","d","a","b","c","d","a","c","d","b","d","d","a","c","a","a","d","d","a","a","a","c","d","b","b","c","a","b","b","a","b","b","d","c","b","b","c","a","a","d","b","d","b","c","a","a","d","b","a","a","d","d","b","c","c","c","d","b","b","a","d","c","d","d","a","b","d","d","d","b","a","d","c","a","d","c","b","b","c","c","d","c","b","b","b","d","a"
"47","b","c","d","b","b","a","d","a","c","d","d","a","d","a","d","d","c","c","b","c","a","a","b","a","d","a","a","d","d","c","b","d","a","b","b","c","a","c","a","b","b","c","b","a","b","d","d","c","d","c","b","b","d","a","a","d","a","b","b","c","a","d","b","a","a","c","d","a","d","c","d","c","a","d","a","a","a","d","a","d","d","a","a","c","b","b","c","b","b","a"
"48","d","b","c","d","d","d","b","c","b","b","c","a","b","c","a","b","a","a","b","c","c","c","a","a","b","d","a","b","c","d","b","c","b","b","a","a","d","a","d","b","c","a","b","a","c","d","d","c","a","d","b","a","a","c","d","a","c","d","d","c","c","c","c","a","a","c","b","d","b","b","b","a","b","c","b","c","b","a","b","d","b","b","b","c","b","d","b","b","b","c"
"49","d","d","d","a","d","d","d","d","a","b","d","b","c","a","a","d","b","d","a","a","b","d","a","d","c","a","a","c","b","b","c","b","c","c","b","b","a","c","d","c","b","c","a","c","b","c","a","c","b","c","b","c","b","b","b","b","c","c","b","b","b","b","d","c","b","b","b","b","b","c","b","b","b","b","c","c","b","b","b","b","b","c","b","a","b","b","c","c","b","a"
"50","d","a","a","d","d","a","c","d","a","b","d","a","a","a","b","c","a","d","b","d","d","b","b","d","c","d","c","b","c","d","b","c","d","b","b","b","b","b","d","b","b","b","b","c","c","b","c","c","c","c","c","b","c","b","b","a","b","b","b","b","b","b","c","b","b","b","b","b","c","b","b","c","b","b","b","b","b","b","b","b","c","b","b","c","b","b","c","b","b","c"
"51","a","d","c","a","a","a","a","d","d","a","a","a","b","d","d","a","b","d","c","d","c","a","c","c","c","c","c","b","c","b","c","b","b","c","c","b","c","b","a","c","c","d","c","b","b","c","d","c","c","a","b","d","c","b","c","a","a","d","c","c","c","a","b","c","c","c","c","a","a","d","c","c","c","a","b","d","c","c","c","a","b","d","c","c","c","a","b","d","c","c"
"52","a","a","d","d","a","a","a","a","a","c","b","b","a","a","d","c","b","b","c","c","a","b","c","c","c","c","b","b","c","b","c","c","c","b","c","c","c","c","c","b","c","c","d","c","b","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","b","b","c","c","c","d","c","b","c","c","c","c","b","b","c","b","c","d","c","b","c","c","c","d","c","b","c","c"
"53","d","d","d","a","d","d","a","d","d","b","c","a","a","a","b","d","a","d","c","b","b","c","b","b","c","c","b","c","b","c","b","b","b","c","b","c","c","b","b","c","b","c","d","b","b","c","b","a","d","b","b","c","b","c","c","b","b","c","b","c","c","b","b","c","b","a","c","b","b","c","b","c","c","b","b","c","b","c","c","b","b","c","b","b","c","b","b","c","b","c"
"54","d","a","a","d","b","a","b","a","b","d","b","b","d","a","a","d","d","a","c","a","c","d","d","a","d","b","d","c","d","d","b","b","b","b","b","d","c","b","c","c","d","b","c","c","c","b","c","d","a","c","d","b","a","d","b","d","b","a","b","d","a","d","b","b","a","a","b","d","d","a","b","d","a","d","b","a","a","b","a","d","a","a","a","b","a","d","d","a","a","b"
"55","c","b","d","c","c","c","c","d","d","a","d","a","a","a","a","d","a","c","c","b","c","b","c","c","c","c","c","b","c","c","b","c","b","b","b","c","b","c","a","c","b","c","d","a","a","d","c","c","d","b","c","c","c","c","c","b","c","c","c","c","b","b","b","c","b","c","c","b","b","c","c","c","c","c","b","b","c","c","b","c","b","b","b","c","b","d","b","b","c","c"
"56","c","a","b","d","a","d","d","d","a","a","d","c","b","b","d","c","b","c","b","b","b","b","c","b","b","c","b","b","c","c","b","c","d","b","c","c","b","d","c","b","b","b","a","c","b","b","b","b","b","c","d","b","c","b","c","b","c","b","c","b","b","c","c","b","c","a","b","c","a","b","c","b","b","b","c","b","c","b","b","b","c","b","c","b","b","b","b","b","b","b"
"57","d","d","a","d","d","a","c","d","d","b","c","c","d","a","a","b","d","c","c","a","c","b","b","c","b","a","b","b","b","c","b","a","c","b","b","c","b","b","b","b","b","c","b","b","c","b","b","c","a","b","b","b","b","c","b","c","c","b","b","c","b","c","c","b","b","c","b","b","c","b","b","c","b","b","c","b","b","c","b","b","c","b","b","c","b","b","c","b","b","c"
"58","b","d","a","a","c","a","a","d","a","a","d","a","c","c","b","b","a","d","d","c","c","c","d","b","c","c","c","c","b","c","c","a","c","c","c","c","c","b","c","c","c","c","c","b","c","c","b","c","b","a","c","c","b","b","b","a","c","c","b","c","c","a","c","c","b","c","c","b","c","c","b","b","c","b","c","c","b","c","c","c","c","c","b","b","c","c","c","c","b","b"
"59","b","c","b","a","b","d","a","a","a","a","d","d","a","a","a","a","d","b","d","d","c","c","c","b","c","d","c","c","b","a","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","c","b","b"
"60","a","d","a","a","a","a","a","d","a","a","a","a","d","b","c","c","c","a","b","a","c","d","c","d","b","c","c","c","c","c","b","b","c","c","c","c","c","b","c","c","c","c","d","b","c","c","c","c","d","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c"
"61","a","d","a","a","d","d","a","d","a","a","d","a","d","a","c","d","d","c","c","a","c","d","a","c","c","b","c","c","b","b","c","b","c","c","b","c","c","b","c","c","b","b","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","c","c","c","c","a","c","c","c","c","c","a","c","c","c","c","c","b","c","c","c","c","c","b","c","c","c","c","c","b","c"
"62","c","d","d","d","d","b","c","b","c","c","c","b","b","b","b","c","b","c","a","a","b","b","a","d","a","a","a","a","a","d","a","a","a","a","a","d","a","b","c","c","a","d","d","d","c","b","d","a","c","d","c","b","c","b","d","c","c","b","c","a","d","c","c","b","c","a","d","c","c","b","c","a","c","c","c","b","c","a","c","c","c","b","c","a","c","c","c","b","c","b"
"63","c","c","c","d","a","d","b","a","a","a","d","d","a","a","a","d","d","d","a","a","a","d","d","d","b","c","c","a","b","c","c","c","c","b","a","a","c","c","c","c","b","b","c","c","c","c","b","b","c","c","c","b","b","b","c","c","c","b","b","b","c","c","c","b","b","b","d","c","c","b","b","b","d","c","c","b","b","b","c","c","c","b","b","b","c","c","c","b","b","b"
"64","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","b","d","c","d","c","b","b","c","c","c","c","d","b","c","c","c","b","a","b","c","c","b","c","b","c","b","b","b","b","b","c","b","b","b","b","c","d","b","b","b","b","a","d","a","a","a","b","a","d","a","a","a","a","a","d","a","a","a","a","a","d","a","a","a","a"
"65","d","a","d","d","d","d","d","a","d","d","d","c","d","b","d","c","d","c","c","b","c","c","c","c","d","c","c","b","c","b","c","c","c","a","c","b","c","c","c","a","c","a","b","d","b","a","b","a","b","d","b","a","b","a","b","d","a","a","a","b","b","c","a","b","b","a","b","c","a","c","a","b","b","b","a","d","a","b","a","d","d","c","d","a","b","a","d","d","a","d"
"66","a","a","d","c","a","a","a","a","d","d","a","a","a","c","d","b","a","a","a","a","c","d","a","a","b","b","d","b","b","a","b","d","c","a","b","a","c","a","c","c","c","a","b","c","c","b","b","a","b","b","b","c","b","d","d","d","c","b","b","d","b","d","b","a","b","d","c","d","a","a","d","a","d","a","a","c","d","d","d","d","a","a","d","d","d","d","a","a","d","a"
"67","a","a","d","d","a","b","b","b","d","d","a","b","a","b","d","c","a","b","a","b","d","c","b","a","b","a","c","d","b","b","b","b","d","b","b","b","b","c","c","c","b","d","b","b","b","b","a","b","c","d","a","a","c","b","d","c","b","b","d","a","c","c","b","a","d","d","c","d","a","b","c","b","d","c","a","a","d","d","d","d","a","a","d","d","d","d","a","a","d","b"
"68","b","a","d","d","a","c","a","a","d","d","a","d","b","a","d","d","b","a","a","b","d","d","a","c","b","d","d","a","c","a","a","c","c","b","a","c","b","b","c","b","c","c","c","c","c","a","d","a","d","a","b","d","c","c","b","a","b","b","a","c","c","d","b","b","c","a","c","d","a","b","c","d","d","c","a","c","d","c","c","d","a","a","d","d","d","d","a","a","d","c"
"69","a","b","d","c","a","b","a","b","d","c","b","b","b","b","d","c","b","b","b","b","c","c","b","c","b","b","c","c","b","c","b","c","c","b","b","c","c","c","c","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","d","d","a","a","d","c","d","d","a","a","d","c","d","d","a","a","d","c","d","d","a","a","d","d","a","a","d","d","a","a","a","a","d","d","a","a"
"70","a","a","d","a","a","a","a","a","d","a","a","a","a","a","d","a","a","a","b","a","d","a","a","a","b","a","d","a","a","b","b","a","d","b","a","a","b","a","c","b","b","b","b","b","c","b","b","b","b","c","b","b","b","b","c","c","b","c","c","c","c","d","b","c","c","c","c","d","a","c","d","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d"
