"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39"
"10","d","c","d","b","d","a","d","a","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","d","b","d","b","d","b"
"11","d","c","d","c","d","b","d","a","d","b","d","c","d","d","c","d","c","d","c","d","b","d","b","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b"
"12","d","c","d","c","d","b","d","a","d","c","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","c","b","d","b"
"13","d","c","d","b","d","a","d","b","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","c","a","b","a","c","b","d","b","c","b","d","b","d","b"
"14","d","d","c","d","c","d","c","d","c","d","d","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a","c","a","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c"
"15","d","c","d","c","d","a","d","a","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","c","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","a","c","b","d","b","d","b"
"16","d","d","d","d","d","d","d","d","d","d","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c"
"17","d","c","d","c","d","a","d","a","d","b","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","a","d","b"
"18","c","c","d","c","d","b","d","a","d","b","d","d","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","a"
"19","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","b","a","b","a","b","a","c","a","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","c"
"20","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","b","a","b","a","b","a","a","b","b","b","b","b","b","c","b","c","b","c","b","c","b","c","b","c","b","d","b","d","b"
"21","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","b","b","b","a","c","a","c","a","c","a"
"22","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b","d","c"
"23","d","d","d","d","d","d","d","d","d","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c"
"24","d","d","d","d","d","d","d","d","d","d","d","d","c","b","c","b","c","c","b","b","b","c","b","c","b","c","b","b","b","c","b","c","c","c","a","c","b","b","a","c","b","c","b","b","a","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","d","b","d","b","d","b","d","b"
"25","d","d","d","d","d","d","d","d","d","d","d","c","d","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","d","b","d","b","d","b","d","c"
"26","d","d","d","d","d","d","d","d","c","d","c","c","c","c","c","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","a","b","a","a","a","b","a","b","a","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c"
"27","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","b","b","a","b","a","b","b","c","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b"
"28","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","b","c","b"
"29","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","b","b","b","c","b","c","b","c","b","c","b","c","b","d","b","d","b","d","b"
"30","d","a","d","a","d","b","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","b"
"31","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","c","b","c","b"
"32","d","b","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","b","b","b","a","b","b","c","b","c","b","c","b"
"33","c","b","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","c","d","c","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","b","c","b","c","b","c","b"
"34","d","c","d","a","d","a","d","c","d","c","c","d","b","d","c","d","c","d","c","d","c","d","c","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","c","b","d","b","d","b"
"35","d","c","d","c","d","a","d","a","d","b","d","c","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","c","b","c","b","c","b","d","b"
"36","d","c","d","c","d","a","d","a","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","c","b","c","b","d","b","d","b"
"37","d","c","d","c","d","b","d","a","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","a","c","b","c","b","d","b"
"38","d","c","d","b","d","a","d","c","d","d","d","c","d","d","c","d","c","d","b","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","d","b","c","b","c","b"
"39","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c"
"40","d","c","d","b","d","a","d","c","d","c","c","d","c","d","d","d","c","d","d","d","d","d","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","c","b","c","b","c","b","c","b","d","c"
"41","d","a","d","a","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","b","c","b","d","b","d","b","d","c","d","c","d","c"
"42","d","b","d","a","d","a","d","b","d","c","c","d","c","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","b","b","b","c","b","c","b","c","b","d","b","d","b"
"43","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","b","b","b","c","b","c","b","c","b"
"44","d","c","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","b"
"45","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","b"
"46","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a"
"47","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b"
"48","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a"
"49","d","b","d","a","d","a","d","b","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","b","a","b","a"
"50","d","c","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","c","d","d","d","d","d","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a"
"51","d","c","d","b","d","a","d","a","d","a","d","c","c","c","c","d","d","d","d","d","d","d","c","d","d","d","c","b","b","c","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a"
"52","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","b","c","c","c","b","b","c","c","b","b","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a"
"53","d","c","d","b","d","a","d","a","d","b","d","c","b","d","d","d","d","d","d","d","d","d","d","d","c","d","b","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a"
"54","d","c","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a"
"55","d","c","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a"
"56","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a"
"57","d","b","d","a","d","a","d","b","d","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a"
"58","c","d","d","d","d","d","d","d","c","d","b","c","a","c","a","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","a","b","b","a","b","a","b","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","b"
"59","d","d","d","d","d","d","d","d","d","d","c","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a","d","a","d","b","d","b","d","b","d","b","d","b"
"60","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","c","c","b","b","b","b","b","b","b","b","b","b","b","c","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","b"
"61","d","a","d","a","d","b","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","b","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","b","a","a","a","a","b","b","b","b"
"62","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","c","b","c","b"
"63","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","b"
"64","d","c","d","b","d","a","d","a","d","a","d","c","c","d","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a"
"65","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"66","d","b","d","a","d","a","d","b","d","c","b","d","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","a","b","b","a","a","a","b","a","b","a","c","a"
"67","c","b","d","b","d","a","d","a","d","b","d","c","a","c","a","d","c","d","c","d","c","d","c","d","c","d","c","b","b","b","b","b","b","b","b","b","b","b","a","b","c","b","a","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","b","b","a","a","b","b","c","b","b","a","c","a","c","a"
"68","c","c","d","b","d","a","d","a","d","b","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","b","a","b","a","b","a","b","a","c","a"
"69","d","c","d","a","d","a","d","a","d","b","c","c","b","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","b","b","a","b","a","b","a","b","a"
"70","d","d","d","d","d","d","d","d","c","d","c","c","c","c","b","b","b","c","c","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","c","a","b","a","c","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b","d","b"
"71","c","b","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","d","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","a","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","a","a","a","b","b","a","b","a","c","a","c","a"
"72","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","b","b","a","b","a","b","b","c","a","c","b","d","b","d","b","d","b","d","b","d","c","d","b"
"73","d","d","d","d","d","d","c","d","d","c","c","b","d","b","b","c","a","b","a","b","b","b","a","b","c","b","b","c","a","b","a","b","b","c","a","b","a","b","b","c","a","b","a","b","a","b","a","b","b","a","a","c","a","a","c","a","a","c","c","a","c","b","c","a","d","b","d","a","d","c","d","b","d","b","d","c","d","b"
"74","d","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","b","d","c","d","b","d","c","d","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","a"
"75","c","c","d","a","d","a","d","a","d","b","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","d","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","b","a","c","a"
"76","d","c","d","b","d","a","d","a","d","a","d","c","c","d","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","c","a"
"77","d","b","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","b"
"78","d","b","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","c","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","a"
"79","d","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","d","d","c","d","c","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a"
"80","c","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","d","d","c","d","d","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","b","a","c","a","c","a"
"81","d","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","d","d","d","d","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","b","a","c","a","c","a"
