subject_id,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,X2_10,X2_11,X2_12,X3_1,X3_2,X3_3,X3_4,X3_5,X3_6,X3_7,X3_8,X3_9,X3_10,X3_11,X3_12,X4_1,X4_2,X4_3,X4_4,X4_5,X4_6,X4_7,X4_8,X4_9,X4_10,X4_11,X4_12,X5_1,X5_2,X5_3,X5_4,X5_5,X5_6,X5_7,X5_8,X5_9,X5_10,X5_11,X5_12,X6_1,X6_2,X6_3,X6_4,X6_5,X6_6,X6_7,X6_8,X6_9,X6_10,X6_11,X6_12,X7_1,X7_2,X7_3,X7_4,X7_5,X7_6,X7_7,X7_8,X7_9,X7_10,X7_11,X7_12,class
10,1.143824,-0.363423,0.816897,-0.426212,-0.309629,-0.315248,-0.11781,0.266063,-0.104472,-0.159541,0.034705,0.064737,1.330639,-0.126492,0.763679,-0.375558,-0.155013,-0.358373,-0.095703,0.286107,-0.129475,-0.186735,0.031634,0.099495,1.24666,0.151568,0.433001,-0.168661,-0.044385,-0.388238,-0.081486,0.150919,-0.101748,-0.242081,0.02314,0.146887,1.392635,-0.421071,0.289392,-0.124899,-0.078864,-0.331562,-0.007683,0.217956,-0.216796,-0.241327,-0.067215,0.101259,1.531482,-0.897376,0.260646,-0.224507,-0.1286,-0.291986,0.039358,0.314414,-0.204533,-0.290636,-0.080772,0.039547,1.321063,-0.629456,0.507952,-0.378778,-0.105466,-0.235558,-0.080671,0.27653,-0.226676,-0.351187,-0.073166,0.098491,1.34676,-0.458321,0.588088,-0.302881,0.01245,-0.208158,-0.133915,0.22069,-0.247244,-0.330439,-0.026863,0.141789,C1
11,0.800522,0.395285,0.493002,-0.253173,-0.516464,-0.331558,0.115512,0.010137,0.083276,-0.029377,-0.004827,0.108569,0.796307,0.310857,0.562126,-0.258161,-0.516958,-0.353113,0.188654,-0.052386,0.112706,-0.067745,-0.016408,0.141233,0.805716,0.265494,0.52739,-0.32274,-0.384788,-0.341542,0.177676,-0.058983,0.075669,-0.093875,-0.073445,0.168804,0.800297,0.302975,0.335931,-0.33177,-0.270319,-0.265806,0.199208,-0.049145,0.018432,-0.213068,-0.051511,0.131266,0.732117,0.311745,0.273789,-0.363404,-0.15062,-0.21675,0.154201,-0.031906,-0.039511,-0.246001,-0.087859,0.144529,0.781415,0.219573,0.3412,-0.366434,-0.093734,-0.167931,0.077928,-0.042151,-0.016295,-0.289385,-0.111269,0.19053,0.9481,0.09246,0.350522,-0.268076,-0.026212,-0.176385,0.028671,-0.154875,-0.003311,-0.339176,-0.044317,0.241843,C1
12,1.537183,-0.019954,0.289778,-0.31196,-0.119883,-0.408652,-0.109311,0.423848,0.043656,-0.126077,0.068359,0.047961,1.507315,-0.095101,0.345358,-0.356143,-0.013246,-0.384331,-0.153393,0.432324,0.008269,-0.184544,0.052687,0.027237,1.574646,-0.100629,0.452088,-0.388427,-0.053732,-0.345429,-0.156549,0.385444,-0.019361,-0.184289,0.098103,0.048031,1.504845,-0.171158,0.451372,-0.411951,0.013635,-0.27002,-0.134805,0.289466,-0.03917,-0.176536,0.077733,0.110177,1.508556,-0.291514,0.43243,-0.402846,0.08483,-0.196651,-0.154087,0.222237,-0.029452,-0.220182,-0.019951,0.176791,1.610055,-0.405364,0.327806,-0.30613,0.115126,-0.138801,-0.160862,0.175678,-0.014439,-0.252518,-0.123595,0.167189,1.379594,-0.206247,0.072986,-0.175824,0.102402,-0.065519,-0.103123,0.097908,-0.000695,-0.37922,-0.103201,0.205124,C1
13,0.909315,-0.112361,0.749605,-0.536469,-0.185042,-0.330685,-0.097017,0.368622,-0.110583,-0.107461,0.127103,0.017513,0.93,-0.214157,0.72618,-0.439735,-0.133005,-0.286941,-0.084586,0.376297,-0.160981,-0.206677,0.12716,0.016802,1.037476,-0.11028,0.455088,-0.293697,-0.079974,-0.295667,-0.06634,0.316656,-0.152178,-0.255779,0.125279,0.072215,1.201256,-0.176348,0.365536,-0.335663,-0.002864,-0.283062,-0.025602,0.329369,-0.193296,-0.30519,0.080274,0.118111,1.282603,-0.322722,0.398362,-0.309866,0.034961,-0.239511,-0.01917,0.328989,-0.246587,-0.321986,0.054446,0.141912,1.204281,-0.259559,0.351681,-0.235486,0.011143,-0.23247,0.012537,0.283033,-0.204994,-0.336961,-0.004666,0.196732,1.277014,-0.320963,0.371111,-0.195737,0.086672,-0.268478,-0.019691,0.214039,-0.235899,-0.278457,0.008626,0.229524,C1
14,1.150639,-0.190578,0.562465,-0.146862,-0.402289,-0.385894,0.324414,-0.04772,-0.122438,-0.029703,-0.094095,0.158405,1.24706,-0.180708,0.501268,-0.159556,-0.332923,-0.332207,0.276059,-0.071612,-0.081193,-0.098538,-0.126867,0.194833,1.269098,-0.086498,0.29563,-0.095281,-0.275123,-0.293166,0.233744,-0.015973,-0.041817,-0.216096,-0.142268,0.170861,1.289961,-0.184865,0.326296,-0.132531,-0.173697,-0.248582,0.160253,0.023721,-0.030337,-0.275098,-0.23664,0.21162,1.389294,-0.326087,0.490548,-0.278633,-0.012178,-0.207796,0.055306,-0.004327,-0.033625,-0.277367,-0.345757,0.30113,1.456287,-0.398315,0.505372,-0.232021,0.158393,-0.196216,-0.080687,-0.118531,-0.049382,-0.231234,-0.35541,0.335051,1.420686,-0.390584,0.501999,-0.176515,0.234225,-0.124958,-0.1373,-0.211044,-0.047506,-0.192806,-0.348979,0.286742,C1
15,1.13164,0.270279,0.739673,-0.310325,-0.020386,-0.524192,-0.214623,0.168158,-0.178383,-0.121794,0.098868,0.112257,1.311113,-0.101263,0.502163,-0.377089,0.016965,-0.446904,-0.211112,0.242711,-0.159733,-0.200028,0.01518,0.097888,1.290049,-0.151758,0.4302,-0.424655,-0.020797,-0.442189,-0.184192,0.272168,-0.106583,-0.249256,-0.01316,0.109049,1.318292,0.072772,0.527553,-0.438854,-0.027352,-0.43952,-0.205391,0.275488,-0.080575,-0.288183,0.047822,0.116389,1.491549,0.063008,0.428127,-0.54266,0.018214,-0.263247,-0.128327,0.205839,-0.131185,-0.273277,-0.021589,0.064058,1.57544,-0.033412,0.297828,-0.429078,-0.006524,-0.206306,-0.110903,0.272779,-0.120511,-0.423546,-0.077252,0.053937,1.578925,-0.195205,0.179115,-0.236086,-0.042108,-0.122591,-0.165205,0.277252,-0.129835,-0.432228,-0.139707,0.018108,C1
16,1.399128,-0.343207,0.716811,-0.585551,-0.131684,-0.253698,-0.259544,0.391923,-0.031476,-0.274924,0.113393,0.099427,1.267651,-0.531646,0.698621,-0.607688,-0.138077,-0.115771,-0.253289,0.398088,-0.028213,-0.369421,0.08051,0.07993,1.515121,-0.538119,0.63786,-0.592914,-0.044264,-0.08909,-0.320668,0.380823,0.00385,-0.401387,0.012239,0.078431,1.667603,-0.455854,0.444622,-0.422037,-0.001333,-0.08312,-0.220889,0.281283,-0.028172,-0.388253,-0.049455,0.117501,1.601337,-0.52825,0.371762,-0.320158,0.05635,-0.049962,-0.215847,0.2332,-0.070157,-0.399246,-0.103421,0.070863,1.731402,-0.689267,0.407254,-0.267094,0.125183,-0.082639,-0.191287,0.172756,-0.12852,-0.34301,-0.187941,0.064776,1.672725,-0.54403,0.40283,-0.252764,0.247749,-0.066841,-0.265544,0.050346,-0.128226,-0.356956,-0.156405,0.172157,C1
17,1.534764,-0.293634,0.697925,-0.231267,-0.387495,-0.423325,-0.169507,0.07916,0.139475,-0.09591,-0.153268,0.235328,1.534597,-0.275996,0.598688,-0.255996,-0.34072,-0.461127,-0.11927,0.102404,0.128827,-0.072071,-0.187969,0.199355,1.663754,-0.325568,0.510932,-0.234888,-0.323128,-0.467327,-0.056795,0.077065,0.103187,-0.042543,-0.222141,0.160647,1.575393,-0.572963,0.584884,-0.17643,-0.405552,-0.235987,-0.225425,0.060941,0.139739,-0.176076,-0.154424,0.163818,1.291198,-0.52998,0.587566,-0.084848,-0.325938,-0.234877,-0.301744,-0.000538,0.133549,-0.190451,-0.146277,0.215198,1.362346,-0.383617,0.504349,-0.242083,-0.144744,-0.278956,-0.149766,0.07075,0.11506,-0.1995,-0.268329,0.226013,1.365495,-0.280327,0.416021,-0.280696,-0.06286,-0.257479,-0.049423,0.065243,0.118959,-0.281476,-0.311725,0.281428,C1
18,1.088468,0.081806,0.650128,-0.539392,-0.223628,-0.421568,-0.07936,0.275351,0.001684,-0.144648,0.148221,0.124753,1.110773,-0.003066,0.631543,-0.564313,-0.122728,-0.299133,-0.107636,0.272824,-0.022504,-0.188468,0.071057,0.118375,1.078846,-0.157215,0.6309,-0.485817,-0.061556,-0.211835,-0.211373,0.325436,-0.001438,-0.270212,0.037612,0.132213,1.121062,-0.258559,0.575491,-0.394771,-0.02301,-0.156514,-0.224537,0.307288,0.026883,-0.346999,0.014087,0.194243,1.220499,-0.312835,0.569161,-0.462897,0.103559,-0.148069,-0.176889,0.353185,-0.06788,-0.406562,-0.029996,0.160991,1.310379,-0.373949,0.563711,-0.437805,0.139653,-0.089183,-0.207204,0.315265,-0.101206,-0.464401,-0.088258,0.136884,1.320922,-0.269567,0.446169,-0.358876,0.163303,-0.037222,-0.193452,0.149636,-0.00795,-0.45807,-0.203661,0.182205,C1
19,0.91504,0.113486,0.491946,-0.38262,-0.080644,-0.401453,-0.080646,0.232774,-0.183325,-0.287493,0.076799,0.082329,0.924537,-0.007616,0.538392,-0.449885,-0.084152,-0.321994,-0.057905,0.239916,-0.171668,-0.314774,0.012397,0.112309,1.031669,-0.046127,0.517596,-0.568272,-0.014802,-0.240863,-0.062075,0.252849,-0.182443,-0.345273,-0.012897,0.113723,1.216242,-0.453245,0.591269,-0.537921,-0.057184,-0.092234,-0.244966,0.219629,-0.055705,-0.399568,-0.107596,0.171011,1.333981,-0.505,0.604433,-0.471978,-0.043074,-0.010171,-0.287954,0.238005,-0.014779,-0.475696,-0.098344,0.184223,1.518447,-0.238606,0.308892,-0.393895,0.16396,-0.125613,-0.226945,0.173784,-0.018315,-0.455062,-0.155159,0.219508,1.540229,-0.356073,0.333341,-0.26174,0.189414,-0.111391,-0.151212,0.065817,-0.05416,-0.336337,-0.249153,0.200252,C1
20,1.230617,-0.140656,0.238559,-0.280207,0.077718,-0.233186,0.013333,0.24314,-0.146384,-0.356229,-0.093334,0.144191,1.46916,-0.201954,0.236249,-0.205359,0.061638,-0.173552,-0.018498,0.23112,-0.230229,-0.387972,-0.088216,0.116289,1.562526,-0.264775,0.292792,-0.138323,0.101545,-0.172869,-0.016827,0.245201,-0.282977,-0.405827,-0.08189,0.115108,1.588722,-0.427712,0.393339,-0.069397,0.133441,-0.146921,-0.001989,0.181681,-0.356906,-0.362688,-0.068742,0.073382,1.423469,-0.360519,0.434608,-0.082119,0.159725,-0.099565,-0.004533,0.052599,-0.378598,-0.345641,-0.052398,0.106167,1.179826,-0.165594,0.381865,-0.061234,0.285824,-0.093728,-0.030273,-0.032882,-0.3906,-0.381579,0.041946,0.175163,1.120673,-0.241489,0.416012,-0.012443,0.283661,-0.023545,-0.088167,-0.09487,-0.419675,-0.229739,0.08786,0.051885,C1
21,1.446814,-0.318667,0.513474,0.022197,-0.250185,-0.330868,-0.373807,0.19965,0.002386,-0.224626,-0.083509,0.044057,1.734038,-0.565097,0.63397,-0.002178,-0.173276,-0.349902,-0.375604,0.08308,0.016099,-0.233974,-0.090376,0.090279,1.522698,-0.322337,0.320559,0.037669,-0.268206,-0.341012,-0.323087,0.105128,0.03477,-0.196352,-0.142561,0.058604,1.585777,-0.418757,0.336066,0.068958,-0.248636,-0.290405,-0.404455,0.052597,0.066125,-0.206246,-0.149652,0.058394,1.587498,-0.414379,0.335013,0.059101,-0.168013,-0.229579,-0.438571,0.003845,0.101638,-0.208641,-0.19177,0.054417,1.645961,-0.426125,0.389522,0.029,-0.12224,-0.202346,-0.41219,-0.011997,0.112053,-0.219153,-0.228055,0.045524,1.721178,-0.49102,0.353279,0.11663,-0.032529,-0.244898,-0.392073,-0.082356,0.062469,-0.22184,-0.233767,0.068984,C1
22,1.553173,-0.127693,0.391798,-0.438605,0.092442,-0.37617,-0.241978,0.252099,-0.068874,-0.251354,0.048273,0.175041,1.647792,-0.320824,0.595265,-0.555282,0.070723,-0.310653,-0.297112,0.311664,-0.118128,-0.249979,0.063763,0.162092,1.688864,-0.353799,0.568243,-0.510661,0.01037,-0.252368,-0.273682,0.26639,-0.061191,-0.255721,0.041852,0.169609,1.5382,-0.280949,0.386523,-0.440751,0.012413,-0.207275,-0.228632,0.189813,-0.023845,-0.249312,-0.003228,0.137781,1.722443,-0.435315,0.387453,-0.500181,0.097811,-0.166427,-0.283635,0.121679,-0.068607,-0.215075,-0.059079,0.144366,1.504405,-0.392336,0.242224,-0.390812,0.095371,-0.099243,-0.306751,0.062887,0.02354,-0.240399,-0.092348,0.110563,1.599441,-0.5023,0.248472,-0.395904,0.12815,-0.066641,-0.344851,0.056126,0.03483,-0.336468,-0.122431,0.167314,C1
23,1.814525,-0.081445,0.406462,0.045165,-0.691587,-0.336256,-0.11607,-0.142007,0.094531,-0.125119,-0.098098,0.192558,1.913461,-0.136827,0.378663,0.028427,-0.638446,-0.338539,-0.069063,-0.11171,0.081588,-0.10744,-0.127575,0.139456,1.643941,-0.090529,0.335565,0.053616,-0.574465,-0.278628,-0.009622,-0.143472,0.043421,-0.109197,-0.118097,0.090854,1.848799,-0.266479,0.34824,0.075756,-0.497886,-0.250879,-0.062838,-0.13264,0.059141,-0.137999,-0.2004,0.129727,1.839051,-0.161169,0.16193,0.102184,-0.371271,-0.245521,-0.045897,-0.163659,0.076132,-0.246382,-0.216415,0.151553,1.92841,-0.192537,0.143783,0.072931,-0.37755,-0.168413,0.006237,-0.154306,0.027178,-0.305294,-0.254281,0.171682,1.695766,-0.239186,0.142268,0.105714,-0.294308,-0.096023,-0.054203,-0.110442,-0.017574,-0.30539,-0.216012,0.175607,C1
24,1.114909,-0.121124,1.015215,-0.435922,-0.323343,-0.315735,-0.312388,0.203715,-0.018818,-0.201491,0.13477,0.174407,1.08578,-0.07632,0.962219,-0.432658,-0.265439,-0.342712,-0.309686,0.244361,-0.036079,-0.229,0.119863,0.155059,1.192486,-0.159693,0.976259,-0.366494,-0.266392,-0.305959,-0.328253,0.201852,-0.044513,-0.242928,0.107773,0.139908,1.026753,-0.121445,0.86374,-0.179242,-0.247755,-0.271258,-0.384739,0.149977,-0.051365,-0.252144,0.075688,0.124648,1.194319,-0.336587,0.879784,-0.276508,-0.174887,-0.100703,-0.343256,0.174233,-0.042906,-0.32113,0.023484,0.071208,1.195848,-0.410752,0.828522,-0.317516,-0.053492,-0.005424,-0.360025,0.178071,-0.050732,-0.391653,-0.031934,0.077595,1.13148,-0.429922,0.777036,-0.261941,0.035569,0.039537,-0.395585,0.13301,-0.056545,-0.41671,-0.056627,0.104608,C1
25,1.304824,0.106494,0.673842,-0.430655,-0.012318,-0.463848,-0.203192,0.31831,0.041553,-0.191541,0.003957,0.167687,1.391294,0.068295,0.661429,-0.459121,-0.023317,-0.413008,-0.138002,0.312054,-0.043612,-0.198387,0.02456,0.117289,1.393211,0.045274,0.673677,-0.431509,0.053768,-0.361994,-0.146737,0.2238,-0.077534,-0.173089,0.013988,0.144424,1.355873,-0.098561,0.609594,-0.392927,0.219053,-0.272311,-0.239973,0.204978,-0.017939,-0.158494,-0.046026,0.128406,1.437055,-0.170245,0.535669,-0.3707,0.280611,-0.224883,-0.216739,0.208402,-0.046987,-0.179136,-0.103786,0.08432,1.406065,-0.171287,0.581883,-0.418838,0.294708,-0.141871,-0.16148,0.151355,-0.085562,-0.211082,-0.25219,0.076349,1.248447,-0.199289,0.534791,-0.279484,0.314338,-0.172977,-0.172354,0.087761,-0.080004,-0.218367,-0.312595,0.095468,C1
26,1.216277,0.012681,0.40898,-0.426374,0.215753,-0.353217,-0.101977,0.383549,-0.007235,-0.183563,-0.208273,0.020444,1.161777,0.095236,0.327397,-0.389226,0.280657,-0.352852,-0.011599,0.358355,-0.00366,-0.23093,-0.206452,0.045311,1.081685,0.044812,0.452536,-0.409362,0.27304,-0.286028,-0.043347,0.364225,-0.030882,-0.272829,-0.233829,0.05112,1.023211,-0.107998,0.541522,-0.415826,0.248192,-0.181357,-0.168057,0.33026,-0.090133,-0.299025,-0.210262,0.025225,1.096366,-0.232957,0.58901,-0.355695,0.279578,-0.123471,-0.252119,0.273005,-0.153015,-0.334539,-0.169006,0.028544,1.171417,-0.292703,0.609122,-0.266573,0.340838,-0.034374,-0.272608,0.170013,-0.197705,-0.361787,-0.140776,0.085734,1.199706,-0.229663,0.542832,-0.273071,0.308415,0.072044,-0.254033,0.08332,-0.214953,-0.362285,-0.108924,0.062222,C1
