subject_id,X1_1,X1_2,X2_1,X2_2,X3_1,X3_2,X4_1,X4_2,X5_1,X5_2,X6_1,X6_2,X7_1,X7_2,X8_1,X8_2,class
155,0,88,57,100,78,75,60,37,42,0,21,3,35,27,100,32,C7
156,0,94,46,100,68,80,59,60,93,41,100,15,62,0,14,2,C3
157,6,50,41,50,100,19,44,0,20,37,63,73,65,100,0,73,C8
158,76,76,39,100,0,76,41,39,73,0,17,7,35,47,100,69,C8
159,100,100,42,100,1,71,18,33,14,0,0,32,36,64,83,92,C8
160,0,55,48,76,78,100,76,85,69,60,66,36,74,11,100,0,C1
161,51,100,10,75,0,33,31,0,82,6,100,44,75,82,28,90,C0
162,21,65,80,84,100,100,80,72,75,43,66,14,0,3,29,0,C1
163,4,92,62,100,100,81,53,55,0,32,18,12,84,7,88,0,C2
164,9,82,52,100,66,81,38,55,89,45,100,17,55,0,0,7,C3
165,37,100,0,84,6,56,100,58,94,82,58,97,41,48,47,0,C4
166,0,12,24,39,52,65,81,90,100,100,78,68,56,36,45,0,C1
167,88,97,28,91,26,43,100,5,0,0,37,51,94,100,31,87,C8
168,100,100,74,86,48,73,29,59,16,44,6,29,0,15,0,0,C1
169,15,100,4,72,0,38,48,31,100,38,96,64,81,32,63,0,C4
170,0,95,40,100,59,80,32,56,5,32,14,7,57,0,100,1,C2
171,8,81,42,98,92,100,100,79,63,60,65,36,44,14,0,0,C3
172,100,100,90,96,45,71,14,43,16,12,78,0,72,16,0,18,C6
173,100,100,60,91,31,69,12,44,4,17,34,0,46,20,0,21,C6
174,70,100,43,82,16,49,0,16,41,0,100,21,47,31,12,4,C6
175,70,98,0,99,36,48,93,0,4,0,16,46,100,79,48,100,C8
176,0,100,31,67,98,38,86,0,15,8,65,45,100,84,26,86,C8
177,0,43,33,62,70,80,100,100,80,78,66,52,58,26,58,0,C1
178,0,86,48,100,92,75,84,22,46,0,2,29,49,49,100,62,C7
179,56,100,6,76,0,55,78,62,100,84,68,57,44,29,32,0,C4
180,100,100,66,98,29,67,4,31,19,0,68,12,49,35,0,21,C6
181,0,72,0,77,23,64,73,37,25,0,9,62,33,100,100,100,C5
182,34,58,45,100,54,60,35,18,0,0,22,17,61,8,100,9,C2
183,25,94,0,52,12,7,64,0,100,36,90,80,40,100,0,71,C0
184,28,82,74,100,87,77,46,51,88,48,100,18,52,0,0,0,C3
185,0,95,43,100,89,91,59,68,82,45,100,22,55,7,1,0,C3
186,81,100,49,81,76,38,50,0,0,17,58,51,100,91,30,98,C8
187,53,97,0,72,66,38,95,0,29,15,71,55,100,98,15,100,C8
188,0,45,53,36,62,0,7,6,52,38,100,70,71,100,11,84,C8
189,10,81,41,59,100,46,89,0,31,3,0,49,10,93,75,100,C5
190,25,90,42,100,15,63,0,26,42,0,100,3,80,28,59,6,C6
191,0,86,22,100,58,82,38,40,16,0,5,44,51,56,100,63,C7
192,30,85,68,100,54,78,60,65,100,46,85,15,38,0,0,16,C3
193,18,95,14,65,77,57,100,13,49,0,12,43,0,88,62,100,C5
194,72,100,6,80,0,50,100,54,95,72,67,87,61,41,77,0,C4
195,16,74,0,28,37,0,81,23,100,68,65,100,18,88,0,45,C0
196,29,88,90,100,69,95,12,74,35,58,100,47,64,17,0,0,C5
197,56,100,39,68,70,27,29,0,0,33,62,60,100,90,30,95,C8
198,100,97,69,100,34,69,13,33,31,0,90,4,55,24,0,10,C6
199,88,63,87,100,7,94,0,59,73,76,100,77,85,39,80,0,C9
200,10,100,0,99,51,100,95,89,100,67,91,44,76,22,69,0,C7
201,0,84,50,100,100,86,70,44,49,0,21,8,20,28,84,30,C7
202,25,92,71,100,75,62,57,25,30,0,0,32,47,39,100,40,C7
203,0,96,41,100,61,68,47,31,31,0,12,36,46,48,100,47,C7
204,40,99,0,74,1,20,44,0,88,24,100,76,60,100,21,70,C0
205,43,100,30,82,5,53,0,27,52,39,100,57,83,29,72,0,C4
206,42,100,19,75,1,49,0,23,54,17,100,32,84,27,86,0,C4
207,79,87,98,81,71,100,72,73,100,66,91,21,48,0,0,13,C9
208,77,96,38,100,58,77,99,86,100,50,84,12,43,0,0,0,C9
209,0,82,34,100,78,90,49,62,80,49,100,18,62,0,18,13,C3
210,0,87,18,95,89,100,100,79,64,41,38,0,1,10,52,24,C7
211,0,73,27,86,73,100,100,98,89,72,83,46,82,20,85,0,C1
212,33,100,2,54,0,5,62,0,100,42,91,92,32,95,4,49,C0
213,1,77,80,74,75,100,0,84,38,66,100,76,87,38,88,0,C9
214,100,93,38,100,21,67,85,34,62,0,0,20,50,57,88,93,C8
215,41,100,58,60,70,19,1,0,0,35,60,65,100,95,25,84,C8
216,100,100,60,99,27,83,15,52,47,44,76,26,42,7,0,0,C5
217,71,100,35,82,0,62,45,51,100,49,82,43,52,21,25,0,C4
218,100,100,66,98,34,75,10,48,0,17,32,0,57,23,22,40,C6
219,34,92,16,51,39,9,84,0,100,43,79,85,35,100,0,70,C0
220,46,100,30,79,0,51,43,38,86,47,100,64,81,32,71,0,C4
221,100,76,53,55,15,73,51,100,91,81,83,44,52,12,0,0,C9
222,73,74,80,100,23,65,0,22,57,0,100,38,91,82,23,73,C0
223,0,39,38,57,69,79,100,100,90,74,71,49,53,24,34,0,C1
224,100,72,47,57,18,78,60,100,90,74,83,39,53,10,0,0,C9
225,0,82,58,99,70,100,61,62,59,24,24,2,14,0,100,3,C1
226,88,90,14,100,35,70,100,38,79,0,0,11,40,51,88,89,C8
227,86,88,46,100,50,80,99,94,100,62,96,26,56,2,0,0,C9
228,0,87,39,100,73,74,69,31,51,0,12,28,50,47,100,54,C7
229,39,97,64,100,50,68,26,42,0,21,34,11,68,0,100,19,C2
230,11,90,1,57,0,19,41,0,84,27,100,64,87,100,35,97,C0
231,20,87,60,100,100,94,75,68,83,40,87,12,46,0,0,1,C3
232,10,86,51,100,83,81,59,51,91,41,100,11,51,0,0,7,C3
233,2,60,0,18,33,0,73,19,100,53,98,92,54,100,14,83,C0
234,26,73,0,66,38,100,50,90,20,47,6,19,52,0,100,9,C2
235,100,98,71,100,49,99,47,70,75,55,56,32,28,15,0,0,C5
236,100,100,47,97,43,75,91,90,92,67,92,24,51,0,0,9,C9
237,41,83,28,54,100,50,76,12,7,0,0,41,14,84,87,100,C5
238,0,79,46,100,82,84,36,59,70,49,100,21,50,0,6,15,C3
239,58,100,17,78,0,37,18,0,70,4,100,38,83,78,35,83,C0
240,22,100,27,86,0,58,1,35,71,40,100,60,96,30,99,0,C4
241,67,86,100,100,79,83,58,67,38,50,21,33,4,17,0,0,C1
242,0,88,27,100,49,74,39,41,16,16,36,4,68,0,100,0,C2
243,98,96,52,96,74,64,97,100,97,70,100,28,62,0,0,14,C9
244,70,98,0,89,60,61,100,26,49,0,12,31,46,68,81,100,C8
245,36,86,91,100,61,91,21,65,58,48,100,27,59,4,0,0,C5
246,0,63,34,43,58,12,59,0,34,30,21,62,51,88,100,100,C5
247,16,81,48,100,75,80,36,62,89,49,100,19,53,0,0,3,C3
248,100,100,67,84,34,62,10,38,0,11,42,0,32,24,1,20,C6
249,16,100,10,57,64,35,25,0,0,31,5,80,39,96,100,94,C5
250,24,70,42,100,100,100,72,69,66,54,92,26,45,0,0,2,C3
251,0,78,19,95,58,100,92,89,100,67,92,44,81,21,67,0,C9
252,17,97,89,100,48,96,21,70,59,67,100,36,63,0,0,16,C5
253,80,100,37,76,10,50,0,22,39,0,100,13,68,37,2,46,C6
254,0,71,47,85,100,100,100,81,84,61,66,41,47,20,31,0,C1
255,6,95,53,100,72,68,63,33,43,0,0,20,43,40,100,48,C7
256,100,60,82,100,22,89,33,44,47,0,0,1,26,42,93,62,C8
257,0,64,43,78,81,100,100,98,95,73,88,49,81,24,83,0,C1
258,64,86,100,100,47,100,71,71,96,66,96,19,45,0,0,19,C9
259,52,100,18,79,0,35,23,0,72,18,100,57,72,92,21,85,C0
260,0,86,29,100,62,95,51,62,31,32,34,2,69,0,100,6,C2
261,66,100,31,74,6,47,0,20,41,0,100,16,84,36,16,23,C6
262,25,92,13,64,52,30,8,0,0,34,46,68,100,100,10,89,C8
263,0,87,41,100,79,83,60,43,50,2,49,0,40,32,100,36,C7
264,2,79,32,100,52,70,39,36,12,6,0,7,50,7,100,0,C2
265,38,85,60,100,58,72,33,45,0,24,15,10,58,0,100,10,C2
266,100,88,69,100,34,82,8,56,0,23,26,0,50,22,22,42,C6
267,16,100,12,92,0,69,38,52,100,57,96,46,82,24,75,0,C4
268,0,80,37,100,82,95,68,63,79,47,100,17,67,0,22,9,C3
269,16,69,51,100,60,91,56,54,60,17,0,4,29,0,100,2,C1
270,87,95,34,100,57,77,100,96,88,70,99,28,57,2,0,0,C9
271,0,62,11,17,45,0,80,14,100,52,86,92,49,100,16,83,C0
272,13,100,0,62,12,21,53,0,94,19,100,60,75,96,32,97,C0
273,29,95,0,63,4,19,52,0,96,23,100,68,66,100,16,87,C0
274,9,80,56,100,100,87,88,51,51,23,0,4,29,4,88,0,C2
275,94,100,47,78,14,50,0,22,39,0,100,19,81,46,8,53,C6
276,41,100,69,100,54,69,24,50,0,36,35,31,68,14,100,0,C2
277,0,85,60,100,100,74,85,36,67,0,35,6,16,35,96,42,C7
278,100,100,84,90,60,75,40,60,20,44,8,29,0,14,4,0,C1
279,38,100,16,86,0,51,55,45,92,70,100,72,95,36,95,0,C4
280,45,100,7,61,0,10,60,0,100,43,96,93,38,96,15,48,C0
281,100,93,90,100,70,83,60,67,40,50,30,33,10,17,0,0,C1
282,63,100,23,87,0,67,28,51,85,54,100,41,77,21,60,0,C4
283,0,92,36,100,56,70,41,30,27,0,4,37,51,43,100,43,C7
284,16,85,60,100,86,73,44,52,90,48,100,14,46,0,0,13,C3
285,86,92,30,100,1,69,0,30,32,0,85,15,100,51,86,89,C0
286,27,82,68,100,100,89,65,65,88,41,97,17,49,5,0,0,C3
287,44,91,20,83,94,48,100,4,0,0,11,45,67,87,7,100,C8
288,43,78,3,49,0,9,57,0,98,30,100,70,60,100,39,69,C0
289,91,60,70,100,16,88,32,50,87,76,100,27,58,0,0,6,C9
290,0,98,60,100,100,78,74,38,46,0,62,1,82,29,21,42,C7
291,34,81,6,42,22,0,70,10,100,48,92,91,42,100,0,73,C0
292,0,40,29,57,65,78,100,100,93,80,74,53,55,26,38,0,C1
293,42,76,27,30,55,0,90,30,100,77,65,100,25,79,0,40,C0
294,17,84,18,59,48,36,17,0,0,38,6,87,52,93,100,100,C5
295,48,100,28,71,0,43,40,32,100,37,87,58,61,29,41,0,C4
296,86,100,39,79,11,52,0,23,35,0,100,9,92,33,22,34,C6
297,100,100,60,85,25,58,0,28,13,0,71,6,46,23,15,10,C6
298,44,100,19,82,0,59,47,48,100,59,80,46,54,24,41,0,C4
299,91,94,13,83,67,52,100,18,16,0,0,33,36,68,48,100,C8
300,47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,C8
301,0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,C2
302,0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,C1
303,0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,C4
304,0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,C1
305,100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,C6
306,0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,C4
307,0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,C0
308,13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,C5
309,57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,C0
310,74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,C9
311,48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,C8
312,100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,C5
313,91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,C9
314,0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,C7
315,35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,C3
316,50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,C3
317,99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,C9
318,24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,C2
319,0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,C2
320,12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,C5
321,0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,C1
322,10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,C5
323,73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,C8
324,54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,C6
325,11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,C4
326,36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,C0
327,46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,C4
328,61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,C8
329,100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,C1
330,32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,C8
331,40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,C5
332,27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,C0
333,0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,C9
334,30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,C3
335,29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,C5
336,77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,C4
337,64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,C9
338,9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,C2
339,0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,C7
340,30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,C5
341,60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,C6
342,0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,C3
343,5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,C3
344,100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,C6
345,47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,C3
346,29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,C2
347,1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,C5
348,63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,C4
349,11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,C3
350,51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,C1
351,56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,C0
352,0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,C1
353,17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,C4
354,41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,C5
355,20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,C3
356,18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,C0
357,97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,C6
358,57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,C8
359,30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,C5
360,12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,C0
361,0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,C3
362,0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,C7
363,100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,C8
364,37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,C5
365,100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,C6
366,94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,C8
367,0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,C8
368,80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,C9
369,35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,C0
370,34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,C4
371,0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,C1
372,90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,C9
